"Label (Grouping)","Colusa County, California!!Total!!Estimate","Colusa County, California!!Total!!Margin of Error","Colusa County, California!!Male!!Estimate","Colusa County, California!!Male!!Margin of Error","Colusa County, California!!Female!!Estimate","Colusa County, California!!Female!!Margin of Error"
"Total population","21,361","*****","11,097","±77","10,264","±77"
"AGE","","","","","",""
"    Under 5 years","7.4%","±0.1","7.2%","±0.2","7.5%","±0.2"
"    5 to 9 years","7.8%","±0.6","8.0%","±1.0","7.5%","±1.1"
"    10 to 14 years","8.1%","±0.7","8.2%","±1.2","8.1%","±1.1"
"    15 to 19 years","7.2%","±0.3","7.2%","±0.4","7.1%","±0.5"
"    20 to 24 years","6.9%","±0.3","7.2%","±0.5","6.5%","±0.6"
"    25 to 29 years","6.6%","±0.3","7.1%","±0.6","6.1%","±0.2"
"    30 to 34 years","6.4%","±0.2","6.4%","±0.1","6.5%","±0.3"
"    35 to 39 years","6.3%","±0.8","5.5%","±1.0","7.1%","±1.0"
"    40 to 44 years","5.5%","±0.8","6.0%","±1.0","4.8%","±1.0"
"    45 to 49 years","6.1%","±0.3","6.1%","±0.4","6.2%","±0.3"
"    50 to 54 years","6.6%","±0.2","6.6%","±0.4","6.6%","±0.3"
"    55 to 59 years","6.6%","±0.8","6.2%","±1.0","6.9%","±1.1"
"    60 to 64 years","5.6%","±0.8","6.0%","±1.0","5.1%","±1.1"
"    65 to 69 years","4.5%","±0.5","4.2%","±0.7","4.9%","±0.7"
"    70 to 74 years","3.3%","±0.6","3.5%","±0.7","3.0%","±0.8"
"    75 to 79 years","2.4%","±0.4","2.1%","±0.5","2.7%","±0.7"
"    80 to 84 years","1.8%","±0.4","1.8%","±0.4","1.8%","±0.6"
"    85 years and over","1.0%","±0.4","0.5%","±0.2","1.5%","±0.7"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.9%","±0.3","16.2%","±0.6","15.6%","±0.3"
"    15 to 17 years","4.5%","±0.1","4.5%","±0.1","4.6%","±0.3"
"    18 to 24 years","9.5%","±0.2","10.0%","±0.3","9.0%","±0.2"
"    15 to 44 years","38.8%","±0.3","39.4%","±0.5","38.2%","±0.4"
"    16 years and over","75.0%","±0.5","74.7%","±0.8","75.3%","±0.7"
"    18 years and over","72.2%","±0.4","72.1%","±0.6","72.3%","±0.5"
"    60 years and over","18.6%","±0.8","18.2%","±1.1","19.0%","±1.0"
"    62 years and over","16.5%","±0.7","16.0%","±0.9","17.0%","±0.9"
"    65 years and over","13.0%","±0.3","12.2%","±0.5","13.9%","±0.3"
"    75 years and over","5.2%","±0.3","4.5%","±0.2","6.0%","±0.6"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","34.7","±0.3","33.8","±0.7","35.6","±0.5"
"    Sex ratio (males per 100 females)","108.1","±1.6","(X)","(X)","(X)","(X)"
"    Age dependency ratio","68.9","±1.1","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","22.0","±0.5","(X)","(X)","(X)","(X)"
"    Child dependency ratio","46.9","±0.9","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.9%","(X)","(X)","(X)","(X)","(X)"
