"Label (Grouping)","Los Angeles County, California!!Total!!Estimate","Los Angeles County, California!!Total!!Margin of Error","Los Angeles County, California!!Male!!Estimate","Los Angeles County, California!!Male!!Margin of Error","Los Angeles County, California!!Female!!Estimate","Los Angeles County, California!!Female!!Margin of Error"
"Total population","9,962,789","*****","4,913,397","±665","5,049,392","±665"
"AGE","","","","","",""
"    Under 5 years","6.5%","*****","6.7%","±0.1","6.3%","±0.1"
"    5 to 9 years","6.3%","±0.1","6.6%","±0.1","6.0%","±0.1"
"    10 to 14 years","6.6%","±0.1","6.8%","±0.1","6.4%","±0.1"
"    15 to 19 years","7.2%","±0.1","7.4%","±0.1","7.0%","±0.1"
"    20 to 24 years","7.9%","±0.1","8.1%","±0.1","7.6%","±0.1"
"    25 to 29 years","7.8%","*****","8.1%","±0.1","7.5%","±0.1"
"    30 to 34 years","7.4%","*****","7.6%","±0.1","7.2%","±0.1"
"    35 to 39 years","6.9%","±0.1","7.0%","±0.1","6.8%","±0.1"
"    40 to 44 years","7.3%","±0.1","7.4%","±0.1","7.3%","±0.1"
"    45 to 49 years","7.0%","±0.1","7.0%","±0.1","7.0%","±0.1"
"    50 to 54 years","6.8%","*****","6.7%","±0.1","6.8%","±0.1"
"    55 to 59 years","6.0%","±0.1","5.9%","±0.1","6.1%","±0.1"
"    60 to 64 years","4.9%","±0.1","4.6%","±0.1","5.1%","±0.1"
"    65 to 69 years","3.6%","±0.1","3.3%","±0.1","3.9%","±0.1"
"    70 to 74 years","2.6%","±0.1","2.4%","±0.1","2.8%","±0.1"
"    75 to 79 years","2.0%","±0.1","1.7%","±0.1","2.2%","±0.1"
"    80 to 84 years","1.6%","±0.1","1.4%","±0.1","1.9%","±0.1"
"    85 years and over","1.6%","±0.1","1.1%","±0.1","2.1%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.9%","*****","13.4%","±0.1","12.4%","±0.1"
"    15 to 17 years","4.3%","*****","4.4%","±0.1","4.1%","±0.1"
"    18 to 24 years","10.8%","*****","11.2%","±0.1","10.5%","±0.1"
"    15 to 44 years","44.5%","±0.1","45.7%","±0.1","43.3%","±0.1"
"    16 years and over","79.2%","±0.1","78.5%","±0.1","79.9%","±0.1"
"    18 years and over","76.3%","*****","75.5%","±0.1","77.1%","±0.1"
"    60 years and over","16.4%","±0.1","14.6%","±0.1","18.1%","±0.1"
"    62 years and over","14.3%","±0.1","12.6%","±0.1","15.9%","±0.1"
"    65 years and over","11.5%","*****","10.0%","±0.1","13.0%","±0.1"
"    75 years and over","5.2%","±0.1","4.2%","±0.1","6.2%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","35.2","±0.1","33.9","±0.1","36.5","±0.1"
"    Sex ratio (males per 100 females)","97.3","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","54.3","*****","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","17.7","*****","(X)","(X)","(X)","(X)"
"        Child dependency ratio","36.5","*****","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.6%","(X)","(X)","(X)","(X)","(X)"
