"Label (Grouping)","San Benito County, California!!Total!!Estimate","San Benito County, California!!Total!!Margin of Error","San Benito County, California!!Male!!Estimate","San Benito County, California!!Male!!Margin of Error","San Benito County, California!!Female!!Estimate","San Benito County, California!!Female!!Margin of Error"
"Total population","55,467","*****","27,693","±113","27,774","±113"
"AGE","","","","","",""
"    Under 5 years","7.3%","±0.1","7.4%","±0.2","7.3%","±0.2"
"    5 to 9 years","7.8%","±0.6","7.1%","±1.0","8.4%","±0.8"
"    10 to 14 years","8.4%","±0.6","9.7%","±1.0","7.1%","±0.8"
"    15 to 19 years","8.2%","±0.2","8.4%","±0.2","8.0%","±0.2"
"    20 to 24 years","6.5%","±0.1","6.9%","±0.2","6.1%","±0.2"
"    25 to 29 years","6.4%","±0.1","6.3%","±0.2","6.4%","±0.2"
"    30 to 34 years","6.4%","±0.2","6.5%","±0.3","6.4%","±0.2"
"    35 to 39 years","6.7%","±0.6","6.2%","±0.9","7.3%","±0.8"
"    40 to 44 years","6.9%","±0.7","7.3%","±0.9","6.5%","±0.8"
"    45 to 49 years","7.6%","±0.1","7.5%","±0.1","7.7%","±0.2"
"    50 to 54 years","7.1%","±0.1","7.0%","±0.1","7.2%","±0.2"
"    55 to 59 years","6.0%","±0.5","5.7%","±0.6","6.2%","±0.6"
"    60 to 64 years","4.7%","±0.5","4.8%","±0.6","4.6%","±0.6"
"    65 to 69 years","2.6%","±0.3","2.4%","±0.4","2.7%","±0.4"
"    70 to 74 years","3.1%","±0.3","3.1%","±0.4","3.0%","±0.4"
"    75 to 79 years","1.8%","±0.3","1.5%","±0.4","2.1%","±0.4"
"    80 to 84 years","1.3%","±0.3","1.3%","±0.3","1.3%","±0.3"
"    85 years and over","1.2%","±0.2","0.9%","±0.3","1.6%","±0.4"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","16.2%","±0.3","16.8%","±0.3","15.5%","±0.3"
"    15 to 17 years","5.4%","±0.2","5.3%","±0.2","5.4%","±0.2"
"    18 to 24 years","9.4%","±0.1","10.0%","±0.2","8.8%","±0.2"
"    15 to 44 years","41.1%","±0.2","41.5%","±0.3","40.7%","±0.4"
"    16 years and over","74.8%","±0.3","74.2%","±0.5","75.3%","±0.4"
"    18 years and over","71.1%","±0.1","70.5%","±0.3","71.8%","±0.2"
"    60 years and over","14.7%","±0.5","14.0%","±0.6","15.3%","±0.7"
"    62 years and over","12.4%","±0.4","11.7%","±0.5","13.0%","±0.5"
"    65 years and over","10.0%","±0.2","9.2%","±0.2","10.7%","±0.3"
"    75 years and over","4.3%","±0.1","3.6%","±0.1","5.0%","±0.2"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","34.1","±0.3","33.5","±0.3","35.1","±0.1"
"    Sex ratio (males per 100 females)","99.7","±0.8","(X)","(X)","(X)","(X)"
"    Age dependency ratio","63.5","±0.5","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","16.3","±0.3","(X)","(X)","(X)","(X)"
"        Child dependency ratio","47.2","±0.2","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.7%","(X)","(X)","(X)","(X)","(X)"
