"Label (Grouping)","Stanislaus County, California!!Total!!Estimate","Stanislaus County, California!!Total!!Margin of Error","Stanislaus County, California!!Male!!Estimate","Stanislaus County, California!!Male!!Margin of Error","Stanislaus County, California!!Female!!Estimate","Stanislaus County, California!!Female!!Margin of Error"
"Total population","530,561","*****","262,151","±115","268,410","±115"
"AGE","","","","","",""
"    Under 5 years","7.4%","*****","7.6%","±0.1","7.1%","±0.1"
"    5 to 9 years","7.5%","±0.2","7.5%","±0.3","7.4%","±0.3"
"    10 to 14 years","7.9%","±0.2","8.4%","±0.3","7.5%","±0.3"
"    15 to 19 years","7.5%","±0.1","7.8%","±0.1","7.2%","±0.1"
"    20 to 24 years","7.3%","±0.1","7.5%","±0.1","7.1%","±0.1"
"    25 to 29 years","7.2%","±0.1","7.4%","±0.1","7.1%","±0.1"
"    30 to 34 years","6.8%","±0.1","6.9%","±0.1","6.7%","±0.1"
"    35 to 39 years","6.2%","±0.2","6.3%","±0.3","6.2%","±0.2"
"    40 to 44 years","6.4%","±0.2","6.5%","±0.2","6.3%","±0.2"
"    45 to 49 years","6.3%","±0.1","6.3%","±0.1","6.2%","±0.1"
"    50 to 54 years","6.5%","*****","6.4%","±0.1","6.5%","±0.1"
"    55 to 59 years","5.9%","±0.2","5.7%","±0.2","6.2%","±0.2"
"    60 to 64 years","5.0%","±0.2","5.0%","±0.2","5.0%","±0.2"
"    65 to 69 years","4.0%","±0.1","3.7%","±0.2","4.3%","±0.2"
"    70 to 74 years","3.0%","±0.1","2.8%","±0.2","3.2%","±0.2"
"    75 to 79 years","2.1%","±0.1","1.8%","±0.1","2.3%","±0.1"
"    80 to 84 years","1.5%","±0.1","1.3%","±0.1","1.8%","±0.1"
"    85 years and over","1.6%","±0.1","1.2%","±0.1","1.9%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.4%","±0.1","15.9%","±0.1","14.9%","±0.1"
"    15 to 17 years","4.7%","±0.1","4.8%","±0.1","4.5%","±0.1"
"    18 to 24 years","10.1%","±0.1","10.5%","±0.1","9.7%","±0.1"
"    15 to 44 years","41.4%","±0.1","42.3%","±0.1","40.6%","±0.1"
"    16 years and over","75.7%","±0.1","75.0%","±0.1","76.3%","±0.2"
"    18 years and over","72.6%","*****","71.7%","±0.1","73.4%","±0.1"
"    60 years and over","17.2%","±0.2","15.8%","±0.2","18.5%","±0.3"
"    62 years and over","15.0%","±0.2","13.8%","±0.2","16.2%","±0.2"
"    65 years and over","12.1%","±0.1","10.8%","±0.1","13.5%","±0.1"
"    75 years and over","5.2%","±0.1","4.3%","±0.1","6.0%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","33.8","±0.1","32.7","±0.2","34.9","±0.1"
"    Sex ratio (males per 100 females)","97.7","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","65.5","±0.1","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","20.1","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","45.4","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.2%","(X)","(X)","(X)","(X)","(X)"
