,Label (Grouping),"Mendocino County, California!!Total!!Estimate","Mendocino County, California!!Male!!Estimate","Mendocino County, California!!Female!!Estimate"
31,SUMMARY INDICATORS,,,
32,    Median age (years),42.8,40.9,44.1
33,    Sex ratio (males per 100 females),96.1,(X),(X)
34,    Age dependency ratio,72.4,(X),(X)
35,    Old-Age dependency ratio,34.4,(X),(X)
36,    Child dependency ratio,38.0,(X),(X)
37,PERCENT ALLOCATED,,,
38,    Sex,0.0%,(X),(X)
39,    Age,2.9%,(X),(X)
