,Label (Grouping),"Ventura County, California!!Total!!Estimate","Ventura County, California!!Male!!Estimate","Ventura County, California!!Female!!Estimate"
31,SUMMARY INDICATORS,,,
32,    Median age (years),36.4,34.9,37.8
33,    Sex ratio (males per 100 females),98.7,(X),(X)
34,    Age dependency ratio,60.0,(X),(X)
35,        Old-age dependency ratio,19.0,(X),(X)
36,        Child dependency ratio,41.0,(X),(X)
37,PERCENT IMPUTED,,,
38,    Sex,0.1%,(X),(X)
39,    Age,0.9%,(X),(X)
