,Label (Grouping),United States!!Total!!Estimate,United States!!Male!!Estimate,United States!!Female!!Estimate
31,SUMMARY INDICATORS,,,
32,    Median age (years),37.2,35.8,38.5
33,    Sex ratio (males per 100 females),96.8,(X),(X)
34,    Age dependency ratio,59.0,(X),(X)
35,        Old-age dependency ratio,20.9,(X),(X)
36,        Child dependency ratio,38.0,(X),(X)
37,PERCENT IMPUTED,,,
38,    Sex,0.1%,(X),(X)
39,    Age,1.2%,(X),(X)
