,Label (Grouping),"El Dorado County, California!!Total!!Estimate","El Dorado County, California!!Male!!Estimate","El Dorado County, California!!Female!!Estimate"
31,SUMMARY INDICATORS,,,
32,    Median age (years),46.1,45.4,46.7
33,    Sex ratio (males per 100 females),101.4,(X),(X)
34,    Age dependency ratio,65.7,(X),(X)
35,    Old-Age dependency ratio,31.8,(X),(X)
36,    Child dependency ratio,33.9,(X),(X)
37,PERCENT ALLOCATED,,,
38,    Sex,0.2%,(X),(X)
39,    Age,1.5%,(X),(X)
