,Label (Grouping),"Kings County, California!!Total!!Estimate","Kings County, California!!Male!!Estimate","Kings County, California!!Female!!Estimate"
31,SUMMARY INDICATORS,,,
32,    Median age (years),31.2,32.0,30.1
33,    Sex ratio (males per 100 females),128.6,(X),(X)
34,    Age dependency ratio,55.6,(X),(X)
35,        Old-age dependency ratio,12.4,(X),(X)
36,        Child dependency ratio,43.2,(X),(X)
37,PERCENT IMPUTED,,,
38,    Sex,0.1%,(X),(X)
39,    Age,2.2%,(X),(X)
