,Label (Grouping),"Marin County, California!!Total!!Estimate","Marin County, California!!Male!!Estimate","Marin County, California!!Female!!Estimate"
31,SUMMARY INDICATORS,,,
32,    Median age (years),46.1,44.7,47.8
33,    Sex ratio (males per 100 females),94.3,(X),(X)
34,    Age dependency ratio,69.6,(X),(X)
35,    Old-Age dependency ratio,35.0,(X),(X)
36,    Child dependency ratio,34.6,(X),(X)
37,PERCENT ALLOCATED,,,
38,    Sex,0.0%,(X),(X)
39,    Age,1.6%,(X),(X)
