,Label (Grouping),"Butte County, California!!Total!!Estimate","Butte County, California!!Male!!Estimate","Butte County, California!!Female!!Estimate"
31,SUMMARY INDICATORS,,,
32,    Median age (years),37.3,35.1,39.7
33,    Sex ratio (males per 100 females),98.0,(X),(X)
34,    Age dependency ratio,57.2,(X),(X)
35,        Old-age dependency ratio,24.4,(X),(X)
36,        Child dependency ratio,32.9,(X),(X)
37,PERCENT IMPUTED,,,
38,    Sex,0.1%,(X),(X)
39,    Age,1.2%,(X),(X)
