,Label (Grouping),"Santa Cruz County, California!!Total!!Estimate","Santa Cruz County, California!!Male!!Estimate","Santa Cruz County, California!!Female!!Estimate"
31,SUMMARY INDICATORS,,,
32,    Median age (years),37.0,35.8,38.6
33,    Sex ratio (males per 100 females),98.7,(X),(X)
34,    Age dependency ratio,49.0,(X),(X)
35,        Old-Age dependency ratio,18.1,(X),(X)
36,        Child dependency ratio,30.9,(X),(X)
37,PERCENT IMPUTED,,,
38,    Sex,0.1%,(X),(X)
39,    Age,2.9%,(X),(X)
