,Label (Grouping),"Alpine County, California!!Total!!Estimate","Alpine County, California!!Male!!Estimate","Alpine County, California!!Female!!Estimate"
31,SUMMARY INDICATORS,,,
32,    Median age (years),43.2,40.8,45.6
33,    Sex ratio (males per 100 females),126.7,(X),(X)
34,    Age dependency ratio,53.5,(X),(X)
35,        Old-age dependency ratio,18.8,(X),(X)
36,        Child dependency ratio,34.6,(X),(X)
37,PERCENT IMPUTED,,,
38,    Sex,1.3%,(X),(X)
39,    Age,2.6%,(X),(X)
