,Label (Grouping),"Madera County, California!!Total!!Estimate","Madera County, California!!Male!!Estimate","Madera County, California!!Female!!Estimate"
31,SUMMARY INDICATORS,,,
32,    Median age (years),33.6,32.4,34.4
33,    Sex ratio (males per 100 females),92.7,(X),(X)
34,    Age dependency ratio,68.7,(X),(X)
35,    Old-Age dependency ratio,22.3,(X),(X)
36,    Child dependency ratio,46.4,(X),(X)
37,PERCENT ALLOCATED,,,
38,    Sex,0.1%,(X),(X)
39,    Age,3.0%,(X),(X)
