,Label (Grouping),"Santa Cruz County, California!!Total!!Estimate","Santa Cruz County, California!!Male!!Estimate","Santa Cruz County, California!!Female!!Estimate"
31,SUMMARY INDICATORS,,,
32,    Median age (years),36.9,35.7,38.2
33,    Sex ratio (males per 100 females),99.5,(X),(X)
34,    Age dependency ratio,47.8,(X),(X)
35,        Old-age dependency ratio,16.7,(X),(X)
36,        Child dependency ratio,31.0,(X),(X)
37,PERCENT IMPUTED,,,
38,    Sex,0.1%,(X),(X)
39,    Age,2.0%,(X),(X)
