,Label (Grouping),"Marin County, California!!Total!!Estimate","Marin County, California!!Male!!Estimate","Marin County, California!!Female!!Estimate"
31,SUMMARY INDICATORS,,,
32,    Median age (years),44.6,43.1,46.0
33,    Sex ratio (males per 100 females),97.0,(X),(X)
34,    Age dependency ratio,60.1,(X),(X)
35,        Old-age dependency ratio,27.1,(X),(X)
36,        Child dependency ratio,33.0,(X),(X)
37,PERCENT IMPUTED,,,
38,    Sex,0.1%,(X),(X)
39,    Age,1.6%,(X),(X)
