,Label (Grouping),"San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Male!!Estimate","San Francisco County, California!!Female!!Estimate"
31,SUMMARY INDICATORS,,,
32,    Median age (years),38.4,38.2,38.5
33,    Sex ratio (males per 100 females),103.9,(X),(X)
34,    Age dependency ratio,38.6,(X),(X)
35,    Old-age dependency ratio,19.9,(X),(X)
36,    Child dependency ratio,18.7,(X),(X)
37,PERCENT ALLOCATED,,,
38,    Sex,0.1%,(X),(X)
39,    Age,2.1%,(X),(X)
