,Label (Grouping),"San Luis Obispo County, California!!Total!!Estimate","San Luis Obispo County, California!!Male!!Estimate","San Luis Obispo County, California!!Female!!Estimate"
31,SUMMARY INDICATORS,,,
32,    Median age (years),39.3,37.3,41.3
33,    Sex ratio (males per 100 females),104.9,(X),(X)
34,    Age dependency ratio,51.8,(X),(X)
35,        Old-age dependency ratio,23.3,(X),(X)
36,        Child dependency ratio,28.5,(X),(X)
37,PERCENT IMPUTED,,,
38,    Sex,0.1%,(X),(X)
39,    Age,1.0%,(X),(X)
