"Label (Grouping)","Santa Cruz County, California!!Total!!Estimate","Santa Cruz County, California!!Total!!Margin of Error","Santa Cruz County, California!!Male!!Estimate","Santa Cruz County, California!!Male!!Margin of Error","Santa Cruz County, California!!Female!!Estimate","Santa Cruz County, California!!Female!!Margin of Error"
"Total population","266,776","*****","132,544","±771","134,232","±771"
"AGE","","","","","",""
"    Under 5 years","5.6%","±0.2","5.9%","±0.3","5.4%","±0.2"
"    5 to 9 years","5.3%","±0.5","5.1%","±0.8","5.5%","±0.8"
"    10 to 14 years","6.3%","±0.6","6.9%","±0.8","5.6%","±0.8"
"    15 to 19 years","8.5%","±0.3","8.4%","±0.4","8.5%","±0.5"
"    20 to 24 years","9.8%","±0.3","10.0%","±0.4","9.6%","±0.5"
"    25 to 29 years","6.0%","±0.2","6.4%","±0.3","5.6%","±0.4"
"    30 to 34 years","6.1%","±0.2","6.3%","±0.3","6.0%","±0.2"
"    35 to 39 years","5.7%","±0.5","5.8%","±0.8","5.7%","±0.8"
"    40 to 44 years","6.7%","±0.6","6.7%","±0.8","6.7%","±0.8"
"    45 to 49 years","6.5%","±0.3","6.8%","±0.5","6.3%","±0.2"
"    50 to 54 years","7.2%","±0.2","7.1%","±0.3","7.3%","±0.1"
"    55 to 59 years","8.1%","±0.6","7.7%","±0.8","8.6%","±0.7"
"    60 to 64 years","5.9%","±0.6","6.3%","±0.7","5.6%","±0.7"
"    65 to 69 years","4.8%","±0.3","4.5%","±0.5","5.2%","±0.4"
"    70 to 74 years","2.2%","±0.3","2.1%","±0.5","2.2%","±0.5"
"    75 to 79 years","1.7%","±0.3","1.3%","±0.3","2.0%","±0.5"
"    80 to 84 years","1.5%","±0.3","1.1%","±0.3","1.8%","±0.5"
"    85 years and over","2.0%","±0.3","1.7%","±0.4","2.3%","±0.5"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.6%","±0.3","11.9%","±0.4","11.2%","±0.3"
"    15 to 17 years","3.5%","±0.1","3.6%","±0.2","3.5%","±0.2"
"    18 to 24 years","14.8%","±0.2","14.8%","±0.4","14.7%","±0.3"
"    15 to 44 years","42.8%","±0.3","43.5%","±0.5","42.2%","±0.4"
"    16 years and over","81.7%","±0.3","81.2%","±0.5","82.2%","±0.5"
"    18 years and over","79.3%","±0.1","78.5%","±0.3","80.0%","±0.2"
"    60 years and over","18.1%","±0.6","17.0%","±0.8","19.1%","±0.7"
"    62 years and over","15.2%","±0.4","13.8%","±0.6","16.6%","±0.6"
"    65 years and over","12.2%","±0.2","10.7%","±0.2","13.6%","±0.2"
"    75 years and over","5.2%","±0.1","4.1%","±0.2","6.2%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","37.0","±0.5","35.8","±0.4","38.6","±0.7"
"    Sex ratio (males per 100 females)","98.7","±1.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","49.0","±0.5","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","18.1","±0.3","(X)","(X)","(X)","(X)"
"        Child dependency ratio","30.9","±0.3","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.9%","(X)","(X)","(X)","(X)","(X)"
