"Label (Grouping)","Santa Cruz County, California!!Total!!Estimate","Santa Cruz County, California!!Total!!Margin of Error","Santa Cruz County, California!!Male!!Estimate","Santa Cruz County, California!!Male!!Margin of Error","Santa Cruz County, California!!Female!!Estimate","Santa Cruz County, California!!Female!!Margin of Error"
"Total population","274,673","*****","136,118","±740","138,555","±740"
"AGE","","","","","",""
"    Under 5 years","5.3%","±0.2","5.4%","±0.1","5.2%","±0.4"
"    5 to 9 years","5.5%","±0.5","6.0%","±0.7","5.1%","±0.9"
"    10 to 14 years","5.5%","±0.5","5.4%","±0.7","5.5%","±0.8"
"    15 to 19 years","8.5%","±0.4","8.9%","±0.5","8.2%","±0.4"
"    20 to 24 years","10.0%","±0.3","10.0%","±0.5","10.0%","±0.4"
"    25 to 29 years","5.9%","±0.2","6.2%","±0.2","5.7%","±0.3"
"    30 to 34 years","5.6%","±0.2","5.8%","±0.3","5.3%","±0.2"
"    35 to 39 years","6.5%","±0.8","6.3%","±1.0","6.7%","±1.1"
"    40 to 44 years","5.3%","±0.8","5.2%","±0.9","5.3%","±1.0"
"    45 to 49 years","6.4%","±0.2","6.4%","±0.2","6.3%","±0.4"
"    50 to 54 years","6.8%","±0.3","7.2%","±0.5","6.5%","±0.1"
"    55 to 59 years","7.1%","±0.6","6.5%","±0.8","7.7%","±0.8"
"    60 to 64 years","6.7%","±0.6","7.0%","±0.8","6.4%","±0.8"
"    65 to 69 years","5.4%","±0.5","5.2%","±0.6","5.7%","±0.7"
"    70 to 74 years","3.9%","±0.4","3.7%","±0.7","4.0%","±0.7"
"    75 to 79 years","2.7%","±0.4","2.7%","±0.6","2.7%","±0.5"
"    80 to 84 years","1.4%","±0.3","1.1%","±0.3","1.8%","±0.4"
"    85 years and over","1.5%","±0.3","1.0%","±0.3","1.9%","±0.5"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.0%","±0.2","11.5%","±0.4","10.6%","±0.3"
"    15 to 17 years","3.4%","±0.2","3.7%","±0.3","3.1%","±0.2"
"    18 to 24 years","15.1%","±0.2","15.1%","±0.3","15.1%","±0.3"
"    15 to 44 years","41.8%","±0.4","42.4%","±0.6","41.3%","±0.4"
"    16 years and over","82.6%","±0.4","82.4%","±0.6","82.9%","±0.7"
"    18 years and over","80.3%","±0.2","79.5%","±0.4","81.1%","±0.4"
"    60 years and over","21.6%","±0.6","20.7%","±0.8","22.5%","±0.8"
"    62 years and over","18.7%","±0.6","17.9%","±0.8","19.6%","±0.7"
"    65 years and over","14.9%","±0.1","13.7%","±0.2","16.0%","±0.2"
"    75 years and over","5.6%","±0.2","4.8%","±0.5","6.4%","±0.2"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","37.4","±0.6","36.5","±0.5","38.9","±1.0"
"    Sex ratio (males per 100 females)","98.2","±1.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","52.9","±0.6","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","22.7","±0.3","(X)","(X)","(X)","(X)"
"    Child dependency ratio","30.1","±0.4","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.7%","(X)","(X)","(X)","(X)","(X)"
