"Label (Grouping)","Sutter County, California!!Total!!Estimate","Sutter County, California!!Total!!Margin of Error","Sutter County, California!!Male!!Estimate","Sutter County, California!!Male!!Margin of Error","Sutter County, California!!Female!!Estimate","Sutter County, California!!Female!!Margin of Error"
"Total population","95,406","*****","47,486","±89","47,920","±89"
"AGE","","","","","",""
"    Under 5 years","6.9%","±0.1","7.3%","±0.1","6.5%","±0.1"
"    5 to 9 years","8.1%","±0.4","8.0%","±0.6","8.2%","±0.6"
"    10 to 14 years","6.9%","±0.4","7.4%","±0.6","6.4%","±0.5"
"    15 to 19 years","7.0%","±0.1","7.4%","±0.2","6.6%","±0.1"
"    20 to 24 years","6.8%","±0.1","7.1%","±0.1","6.6%","±0.1"
"    25 to 29 years","7.0%","±0.1","7.1%","±0.2","6.8%","±0.1"
"    30 to 34 years","6.5%","±0.1","6.4%","±0.1","6.5%","±0.2"
"    35 to 39 years","6.0%","±0.4","5.9%","±0.6","6.1%","±0.5"
"    40 to 44 years","6.2%","±0.4","6.4%","±0.6","6.1%","±0.5"
"    45 to 49 years","6.0%","±0.1","6.1%","±0.1","6.0%","±0.1"
"    50 to 54 years","6.7%","±0.1","6.6%","±0.1","6.8%","±0.2"
"    55 to 59 years","6.0%","±0.4","5.9%","±0.5","6.1%","±0.6"
"    60 to 64 years","5.4%","±0.4","5.3%","±0.5","5.5%","±0.6"
"    65 to 69 years","4.6%","±0.2","4.3%","±0.3","4.9%","±0.3"
"    70 to 74 years","3.4%","±0.2","3.2%","±0.3","3.5%","±0.3"
"    75 to 79 years","2.4%","±0.2","2.1%","±0.3","2.7%","±0.3"
"    80 to 84 years","2.1%","±0.2","2.0%","±0.3","2.1%","±0.3"
"    85 years and over","2.0%","±0.3","1.5%","±0.3","2.6%","±0.4"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.0%","±0.1","15.5%","±0.1","14.6%","±0.1"
"    15 to 17 years","4.5%","±0.1","4.6%","±0.1","4.3%","±0.1"
"    18 to 24 years","9.4%","±0.1","9.9%","±0.2","8.9%","±0.1"
"    15 to 44 years","39.5%","±0.2","40.4%","±0.2","38.6%","±0.2"
"    16 years and over","76.5%","±0.2","75.4%","±0.4","77.7%","±0.3"
"    18 years and over","73.6%","*****","72.6%","±0.1","74.6%","±0.1"
"    60 years and over","19.8%","±0.4","18.3%","±0.5","21.3%","±0.6"
"    62 years and over","17.4%","±0.3","15.8%","±0.4","19.0%","±0.5"
"    65 years and over","14.5%","±0.1","13.0%","±0.1","15.9%","±0.1"
"    75 years and over","6.5%","±0.1","5.6%","±0.1","7.4%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","35.6","±0.2","34.3","±0.2","36.7","±0.3"
"    Sex ratio (males per 100 females)","99.1","±0.4","(X)","(X)","(X)","(X)"
"    Age dependency ratio","69.1","±0.2","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","24.4","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","44.6","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.2%","(X)","(X)","(X)","(X)","(X)"
