"Label (Grouping)","Sutter County, California!!Total!!Estimate","Sutter County, California!!Total!!Margin of Error","Sutter County, California!!Male!!Estimate","Sutter County, California!!Male!!Margin of Error","Sutter County, California!!Female!!Estimate","Sutter County, California!!Female!!Margin of Error"
"Total population","95,022","*****","47,191","±642","47,831","±642"
"AGE","","","","","",""
"    Under 5 years","7.2%","±0.3","7.1%","±0.7","7.3%","±0.9"
"    5 to 9 years","8.7%","±0.8","7.5%","±1.1","9.8%","±1.1"
"    10 to 14 years","6.5%","±0.9","8.3%","±1.3","4.7%","±1.2"
"    15 to 19 years","9.0%","±1.0","9.0%","±1.6","9.0%","±1.6"
"    20 to 24 years","6.2%","±1.0","7.0%","±1.1","5.4%","±1.3"
"    25 to 29 years","6.7%","±0.4","6.7%","±0.5","6.7%","±0.8"
"    30 to 34 years","6.5%","±0.4","6.3%","±0.6","6.6%","±0.4"
"    35 to 39 years","5.3%","±0.9","4.5%","±1.3","6.0%","±1.2"
"    40 to 44 years","7.7%","±1.1","8.6%","±1.5","6.8%","±1.4"
"    45 to 49 years","5.5%","±0.6","5.5%","±0.5","5.5%","±1.0"
"    50 to 54 years","6.5%","±0.3","6.7%","±0.3","6.3%","±0.5"
"    55 to 59 years","5.9%","±0.7","6.2%","±1.0","5.7%","±1.1"
"    60 to 64 years","4.9%","±0.8","4.2%","±1.1","5.5%","±1.1"
"    65 to 69 years","3.7%","±0.6","3.4%","±0.8","3.9%","±0.8"
"    70 to 74 years","3.6%","±0.9","3.7%","±1.3","3.5%","±0.9"
"    75 to 79 years","2.3%","±0.5","1.9%","±0.6","2.8%","±0.8"
"    80 to 84 years","1.8%","±0.5","1.8%","±0.7","1.9%","±0.8"
"    85 years and over","2.2%","±0.6","1.8%","±0.7","2.5%","±0.8"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.2%","±0.2","15.8%","±0.5","14.5%","±0.4"
"    15 to 17 years","4.5%","±0.1","4.4%","±0.8","4.6%","±0.9"
"    18 to 24 years","10.6%","±0.5","11.5%","±0.9","9.8%","±0.9"
"    15 to 44 years","41.3%","±0.6","42.0%","±0.9","40.5%","±1.2"
"    16 years and over","76.4%","±0.4","75.2%","±1.0","77.5%","±0.8"
"    18 years and over","73.1%","*****","72.6%","±1.0","73.6%","±1.0"
"    60 years and over","18.5%","±0.8","16.8%","±1.2","20.1%","±1.1"
"    62 years and over","16.1%","±0.8","14.4%","±1.1","17.7%","±1.0"
"    65 years and over","13.6%","±0.4","12.5%","±0.8","14.6%","±0.3"
"    75 years and over","6.3%","±0.7","5.4%","±0.8","7.2%","±0.8"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","34.4","±0.6","33.3","±0.8","35.5","±1.0"
"    Sex ratio (males per 100 females)","98.7","±2.7","(X)","(X)","(X)","(X)"
"    Age dependency ratio","68.0","±1.1","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","22.8","±0.8","(X)","(X)","(X)","(X)"
"        Child dependency ratio","45.1","±0.3","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.1%","(X)","(X)","(X)","(X)","(X)"
