"Label (Grouping)","Kings County, California!!Total!!Estimate","Kings County, California!!Total!!Margin of Error","Kings County, California!!Male!!Estimate","Kings County, California!!Male!!Margin of Error","Kings County, California!!Female!!Estimate","Kings County, California!!Female!!Margin of Error"
"Total population","151,364","*****","84,124","±587","67,240","±587"
"AGE","","","","","",""
"    Under 5 years","8.0%","±0.4","7.3%","±0.5","8.8%","±0.5"
"    5 to 9 years","8.4%","±0.9","8.1%","±0.9","8.7%","±1.4"
"    10 to 14 years","6.7%","±0.9","5.6%","±0.9","8.1%","±1.5"
"    15 to 19 years","7.0%","±0.4","6.2%","±0.3","8.0%","±0.7"
"    20 to 24 years","8.1%","±0.3","8.5%","±0.3","7.6%","±0.4"
"    25 to 29 years","8.9%","±0.4","9.8%","±0.6","7.8%","±0.5"
"    30 to 34 years","8.1%","±0.4","8.9%","±0.5","7.2%","±0.5"
"    35 to 39 years","8.3%","±1.0","8.8%","±1.3","7.7%","±1.2"
"    40 to 44 years","6.1%","±0.8","7.2%","±1.0","4.9%","±1.1"
"    45 to 49 years","6.6%","±0.4","7.6%","±0.7","5.4%","±0.2"
"    50 to 54 years","6.4%","±0.4","6.8%","±0.5","5.8%","±0.4"
"    55 to 59 years","5.4%","±0.5","5.3%","±0.6","5.6%","±0.9"
"    60 to 64 years","3.4%","±0.4","3.2%","±0.6","3.6%","±0.7"
"    65 to 69 years","3.1%","±0.4","2.6%","±0.4","3.8%","±0.7"
"    70 to 74 years","1.7%","±0.4","1.7%","±0.5","1.7%","±0.5"
"    75 to 79 years","1.4%","±0.3","1.6%","±0.3","1.2%","±0.4"
"    80 to 84 years","1.3%","±0.3","0.6%","±0.3","2.2%","±0.6"
"    85 years and over","0.9%","±0.3","0.4%","±0.2","1.6%","±0.7"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.1%","±0.5","13.6%","±0.5","16.9%","±0.8"
"    15 to 17 years","4.4%","±0.3","3.8%","±0.2","5.1%","±0.6"
"    18 to 24 years","10.7%","±0.3","11.0%","±0.4","10.4%","±0.4"
"    15 to 44 years","46.6%","±0.4","49.3%","±0.8","43.2%","±0.6"
"    16 years and over","75.4%","±0.5","77.7%","±0.6","72.5%","±0.9"
"    18 years and over","72.5%","±0.1","75.2%","±0.4","69.1%","±0.5"
"    60 years and over","11.9%","±0.5","10.0%","±0.6","14.2%","±0.9"
"    62 years and over","10.6%","±0.5","9.1%","±0.6","12.5%","±0.8"
"    65 years and over","8.5%","±0.4","6.9%","±0.4","10.6%","±0.6"
"    75 years and over","3.7%","±0.3","2.6%","±0.1","5.1%","±0.6"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","31.7","±0.6","32.4","±0.4","30.4","±0.4"
"    Sex ratio (males per 100 females)","125.1","±2.0","(X)","(X)","(X)","(X)"
"    Age dependency ratio","56.2","±1.0","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","13.3","±0.7","(X)","(X)","(X)","(X)"
"        Child dependency ratio","42.9","±0.4","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.7%","(X)","(X)","(X)","(X)","(X)"
