"Label (Grouping)","Kings County, California!!Total!!Estimate","Kings County, California!!Total!!Margin of Error","Kings County, California!!Male!!Estimate","Kings County, California!!Male!!Margin of Error","Kings County, California!!Female!!Estimate","Kings County, California!!Female!!Margin of Error"
"Total population","149,785","*****","82,378","±831","67,407","±831"
"AGE","","","","","",""
"    Under 5 years","7.8%","±0.3","7.5%","±0.4","8.3%","±0.4"
"    5 to 9 years","6.9%","±0.9","6.6%","±1.0","7.2%","±1.5"
"    10 to 14 years","8.5%","±0.9","7.4%","±1.1","9.8%","±1.5"
"    15 to 19 years","6.6%","±0.5","5.3%","±0.4","8.2%","±1.1"
"    20 to 24 years","8.8%","±0.4","10.1%","±0.5","7.1%","±0.5"
"    25 to 29 years","8.7%","±0.4","9.7%","±0.5","7.4%","±0.5"
"    30 to 34 years","7.6%","±0.3","8.2%","±0.4","6.9%","±0.4"
"    35 to 39 years","8.3%","±0.9","9.7%","±1.0","6.7%","±1.3"
"    40 to 44 years","4.6%","±0.8","4.3%","±1.1","5.0%","±1.1"
"    45 to 49 years","7.0%","±0.5","7.5%","±0.7","6.4%","±0.8"
"    50 to 54 years","6.2%","±0.5","6.5%","±0.8","5.8%","±0.5"
"    55 to 59 years","5.1%","±0.6","5.4%","±0.7","4.8%","±0.8"
"    60 to 64 years","4.3%","±0.6","4.2%","±0.8","4.6%","±0.9"
"    65 to 69 years","3.5%","±0.5","3.2%","±0.5","3.8%","±0.7"
"    70 to 74 years","1.9%","±0.5","1.5%","±0.4","2.4%","±0.7"
"    75 to 79 years","1.8%","±0.4","1.3%","±0.5","2.5%","±0.6"
"    80 to 84 years","1.3%","±0.4","1.2%","±0.5","1.4%","±0.6"
"    85 years and over","1.1%","±0.3","0.7%","±0.3","1.6%","±0.5"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.4%","±0.2","14.0%","±0.5","17.0%","±0.6"
"    15 to 17 years","4.2%","±0.3","3.5%","±0.4","5.0%","±0.7"
"    18 to 24 years","11.2%","±0.4","11.9%","±0.5","10.3%","±0.5"
"    15 to 44 years","44.6%","±0.6","47.2%","±0.8","41.4%","±1.0"
"    16 years and over","75.4%","±0.5","77.5%","±0.9","72.8%","±0.9"
"    18 years and over","72.7%","*****","75.1%","±0.8","69.7%","±0.9"
"    60 years and over","13.9%","±0.6","12.0%","±0.7","16.3%","±0.8"
"    62 years and over","11.9%","±0.5","10.0%","±0.7","14.3%","±0.8"
"    65 years and over","9.6%","±0.3","7.8%","±0.3","11.8%","±0.6"
"    75 years and over","4.2%","±0.3","3.2%","±0.2","5.5%","±0.5"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","31.8","±0.8","32.5","±0.8","31.0","±1.0"
"    Sex ratio (males per 100 females)","122.2","±2.7","(X)","(X)","(X)","(X)"
"    Age dependency ratio","58.5","±0.7","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","15.2","±0.5","(X)","(X)","(X)","(X)"
"    Child dependency ratio","43.3","±0.2","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.4%","(X)","(X)","(X)","(X)","(X)"
