"Label (Grouping)","San Diego County, California!!Total!!Estimate","San Diego County, California!!Total!!Margin of Error","San Diego County, California!!Male!!Estimate","San Diego County, California!!Male!!Margin of Error","San Diego County, California!!Female!!Estimate","San Diego County, California!!Female!!Margin of Error"
"Total population","3,253,356","*****","1,635,137","*****","1,618,219","*****"
"AGE","","","","","",""
"    Under 5 years","6.5%","*****","6.6%","*****","6.4%","*****"
"    5 to 9 years","6.2%","±0.1","6.3%","±0.1","6.0%","±0.1"
"    10 to 14 years","6.0%","±0.1","6.0%","±0.1","6.0%","±0.1"
"    15 to 19 years","6.5%","*****","6.8%","*****","6.3%","*****"
"    20 to 24 years","8.3%","*****","9.2%","*****","7.5%","*****"
"    25 to 29 years","8.5%","*****","8.8%","*****","8.1%","*****"
"    30 to 34 years","7.6%","*****","7.8%","*****","7.4%","*****"
"    35 to 39 years","6.7%","±0.1","6.8%","±0.1","6.6%","±0.1"
"    40 to 44 years","6.5%","±0.1","6.5%","±0.1","6.5%","±0.1"
"    45 to 49 years","6.4%","*****","6.4%","*****","6.5%","*****"
"    50 to 54 years","6.6%","*****","6.6%","*****","6.7%","*****"
"    55 to 59 years","6.1%","±0.1","5.9%","±0.1","6.3%","±0.1"
"    60 to 64 years","5.3%","±0.1","5.1%","±0.1","5.5%","±0.1"
"    65 to 69 years","4.2%","±0.1","3.9%","±0.1","4.5%","±0.1"
"    70 to 74 years","2.9%","±0.1","2.7%","±0.1","3.2%","±0.1"
"    75 to 79 years","2.1%","±0.1","1.8%","±0.1","2.3%","±0.1"
"    80 to 84 years","1.7%","±0.1","1.5%","±0.1","2.0%","±0.1"
"    85 years and over","1.8%","±0.1","1.3%","±0.1","2.4%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.1%","*****","12.3%","*****","12.0%","*****"
"    15 to 17 years","3.7%","*****","3.8%","*****","3.6%","*****"
"    18 to 24 years","11.2%","*****","12.3%","*****","10.1%","*****"
"    15 to 44 years","44.1%","*****","45.9%","*****","42.3%","*****"
"    16 years and over","80.2%","±0.1","79.8%","±0.1","80.5%","±0.1"
"    18 years and over","77.6%","*****","77.2%","*****","78.0%","*****"
"    60 years and over","18.0%","±0.1","16.2%","±0.1","19.8%","±0.1"
"    62 years and over","15.8%","±0.1","14.1%","±0.1","17.5%","±0.1"
"    65 years and over","12.7%","*****","11.1%","*****","14.3%","*****"
"    75 years and over","5.6%","*****","4.6%","*****","6.7%","*****"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","35.3","±0.1","33.9","±0.1","36.7","±0.1"
"    Sex ratio (males per 100 females)","101.0","*****","(X)","(X)","(X)","(X)"
"    Age dependency ratio","54.0","*****","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","19.6","*****","(X)","(X)","(X)","(X)"
"    Child dependency ratio","34.4","*****","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.4%","(X)","(X)","(X)","(X)","(X)"
