"Label (Grouping)","Lake County, California!!Total!!Estimate","Lake County, California!!Total!!Margin of Error","Lake County, California!!Male!!Estimate","Lake County, California!!Male!!Margin of Error","Lake County, California!!Female!!Estimate","Lake County, California!!Female!!Margin of Error"
"Total population","64,360","*****","32,529","±158","31,831","±158"
"AGE","","","","","",""
"    Under 5 years","5.5%","±0.1","5.8%","±0.2","5.2%","±0.2"
"    5 to 9 years","5.8%","±0.6","5.9%","±0.7","5.6%","±0.8"
"    10 to 14 years","5.8%","±0.5","5.9%","±0.7","5.8%","±0.7"
"    15 to 19 years","6.4%","±0.3","7.3%","±0.7","5.5%","±0.6"
"    20 to 24 years","5.1%","±0.2","5.3%","±0.4","4.9%","±0.3"
"    25 to 29 years","5.2%","±0.2","5.6%","±0.3","4.8%","±0.2"
"    30 to 34 years","5.0%","±0.2","5.0%","±0.2","5.0%","±0.3"
"    35 to 39 years","6.0%","±0.6","5.6%","±0.7","6.5%","±0.7"
"    40 to 44 years","5.2%","±0.6","5.2%","±0.8","5.3%","±0.7"
"    45 to 49 years","7.1%","±0.2","7.1%","±0.3","7.2%","±0.2"
"    50 to 54 years","8.4%","±0.1","8.2%","±0.2","8.5%","±0.2"
"    55 to 59 years","8.1%","±0.5","7.6%","±0.9","8.6%","±0.8"
"    60 to 64 years","8.6%","±0.6","8.9%","±0.9","8.3%","±0.8"
"    65 to 69 years","5.8%","±0.4","5.7%","±0.6","5.9%","±0.7"
"    70 to 74 years","4.4%","±0.4","4.6%","±0.7","4.2%","±0.7"
"    75 to 79 years","2.6%","±0.5","2.2%","±0.6","2.9%","±0.6"
"    80 to 84 years","2.3%","±0.4","2.3%","±0.5","2.4%","±0.6"
"    85 years and over","2.5%","±0.4","2.0%","±0.5","3.1%","±0.5"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.6%","±0.2","11.8%","±0.2","11.5%","±0.3"
"    15 to 17 years","4.0%","±0.1","4.7%","±0.4","3.4%","±0.4"
"    18 to 24 years","7.5%","±0.2","7.9%","±0.4","7.1%","±0.2"
"    15 to 44 years","33.0%","±0.2","33.9%","±0.5","32.1%","±0.4"
"    16 years and over","81.3%","±0.3","81.2%","±0.5","81.5%","±0.5"
"    18 years and over","78.8%","±0.1","77.7%","±0.4","80.0%","±0.4"
"    60 years and over","26.3%","±0.5","25.6%","±0.8","26.9%","±0.8"
"    62 years and over","23.1%","±0.6","22.5%","±0.7","23.8%","±0.8"
"    65 years and over","17.7%","±0.2","16.8%","±0.3","18.6%","±0.3"
"    75 years and over","7.5%","±0.2","6.5%","±0.2","8.4%","±0.3"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","44.8","±0.3","43.5","±0.5","45.9","±0.5"
"    Sex ratio (males per 100 females)","102.2","±1.0","(X)","(X)","(X)","(X)"
"    Age dependency ratio","63.5","±0.6","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","28.9","±0.4","(X)","(X)","(X)","(X)"
"        Child dependency ratio","34.6","±0.2","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.4%","(X)","(X)","(X)","(X)","(X)"
