"Label (Grouping)","Lake County, California!!Total!!Estimate","Lake County, California!!Total!!Margin of Error","Lake County, California!!Male!!Estimate","Lake County, California!!Male!!Margin of Error","Lake County, California!!Female!!Estimate","Lake County, California!!Female!!Margin of Error"
"Total population","64,116","*****","31,258","±1,177","32,858","±1,177"
"AGE","","","","","",""
"    Under 5 years","5.3%","±0.5","5.5%","±2.6","5.0%","±2.3"
"    5 to 9 years","6.2%","±1.3","5.5%","±1.7","6.8%","±2.0"
"    10 to 14 years","6.0%","±1.4","7.2%","±2.3","4.9%","±1.8"
"    15 to 19 years","5.4%","±1.2","5.6%","±1.9","5.2%","±2.1"
"    20 to 24 years","2.9%","±1.1","1.7%","±1.4","4.0%","±1.6"
"    25 to 29 years","5.7%","±1.3","4.8%","±1.2","6.4%","±2.2"
"    30 to 34 years","4.0%","±1.1","3.2%","±1.9","4.7%","±1.1"
"    35 to 39 years","8.7%","±1.4","10.6%","±2.6","6.9%","±1.7"
"    40 to 44 years","4.0%","±1.3","5.3%","±2.1","2.8%","±1.3"
"    45 to 49 years","6.4%","±0.9","6.1%","±1.1","6.7%","±1.6"
"    50 to 54 years","5.9%","±0.4","5.8%","±0.8","6.0%","±0.8"
"    55 to 59 years","9.1%","±1.4","9.4%","±2.4","8.7%","±1.8"
"    60 to 64 years","7.0%","±1.4","5.9%","±2.2","8.0%","±2.4"
"    65 to 69 years","8.4%","±1.3","8.7%","±1.9","8.0%","±1.9"
"    70 to 74 years","6.1%","±1.3","6.4%","±2.3","5.9%","±1.8"
"    75 to 79 years","4.2%","±0.9","3.0%","±1.1","5.4%","±1.3"
"    80 to 84 years","1.9%","±0.7","2.8%","±1.3","1.0%","±0.7"
"    85 years and over","3.0%","±1.4","2.5%","±1.2","3.5%","±1.8"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.2%","±0.9","12.7%","±1.5","11.7%","±1.2"
"    15 to 17 years","3.2%","±0.8","2.3%","±0.9","4.1%","±1.7"
"    18 to 24 years","5.0%","±1.2","4.9%","±0.6","5.1%","±2.3"
"    15 to 44 years","30.6%","±1.6","31.2%","±2.0","30.0%","±2.7"
"    16 years and over","N","N","N","N","N","N"
"    18 years and over","79.3%","*****","79.4%","±2.5","79.2%","±2.3"
"    60 years and over","30.6%","±2.0","29.3%","±2.8","31.9%","±3.2"
"    62 years and over","27.8%","±1.9","26.8%","±2.4","28.7%","±2.9"
"    65 years and over","23.6%","±1.5","23.4%","±1.7","23.8%","±2.4"
"    75 years and over","9.1%","±1.2","8.3%","±1.0","9.9%","±1.6"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","46.5","±0.9","45.3","±1.5","47.3","±0.9"
"    Sex ratio (males per 100 females)","95.1","±7.0","(X)","(X)","(X)","(X)"
"    Age dependency ratio","79.6","±4.9","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","42.4","±3.9","(X)","(X)","(X)","(X)"
"    Child dependency ratio","37.2","±1.0","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.3%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.1%","(X)","(X)","(X)","(X)","(X)"
