"Label (Grouping)","Lake County, California!!Total!!Estimate","Lake County, California!!Total!!Margin of Error","Lake County, California!!Male!!Estimate","Lake County, California!!Male!!Margin of Error","Lake County, California!!Female!!Estimate","Lake County, California!!Female!!Margin of Error"
"Total population","63,983","*****","33,034","±642","30,949","±642"
"AGE","","","","","",""
"    Under 5 years","5.4%","±0.2","5.8%","±1.2","5.0%","±1.3"
"    5 to 9 years","5.0%","±1.2","5.3%","±1.7","4.7%","±1.4"
"    10 to 14 years","6.3%","±1.2","6.2%","±1.9","6.3%","±1.1"
"    15 to 19 years","5.4%","±1.1","6.7%","±1.9","4.0%","±1.4"
"    20 to 24 years","5.0%","±1.6","5.1%","±2.4","4.9%","±1.7"
"    25 to 29 years","6.5%","±1.6","7.2%","±2.5","5.6%","±1.5"
"    30 to 34 years","4.8%","±1.5","5.2%","±2.8","4.3%","±0.7"
"    35 to 39 years","5.0%","±1.5","3.9%","±1.3","6.2%","±2.3"
"    40 to 44 years","6.1%","±1.2","6.8%","±1.8","5.4%","±1.6"
"    45 to 49 years","5.8%","±0.5","6.2%","±1.0","5.4%","±0.1"
"    50 to 54 years","9.1%","±1.1","8.1%","±1.2","10.2%","±1.7"
"    55 to 59 years","9.2%","±1.2","8.6%","±1.7","9.8%","±1.9"
"    60 to 64 years","8.3%","±1.1","7.9%","±1.5","8.7%","±1.6"
"    65 to 69 years","7.5%","±1.1","7.9%","±1.4","7.1%","±1.5"
"    70 to 74 years","3.2%","±1.0","2.6%","±1.4","3.8%","±1.4"
"    75 to 79 years","3.0%","±1.1","2.5%","±1.1","3.5%","±1.7"
"    80 to 84 years","2.3%","±1.1","2.4%","±1.1","2.2%","±1.3"
"    85 years and over","2.3%","±0.6","1.6%","±0.9","3.0%","±0.8"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.3%","±0.9","11.5%","±1.0","11.0%","±1.1"
"    15 to 17 years","3.6%","±0.8","5.4%","±1.7","1.7%","±0.7"
"    18 to 24 years","6.7%","±1.6","6.4%","±2.3","7.2%","±1.4"
"    15 to 44 years","32.7%","±1.5","34.9%","±2.4","30.4%","±1.8"
"    16 years and over","81.8%","±0.9","80.6%","±2.0","83.0%","±1.5"
"    18 years and over","79.7%","±0.9","77.4%","±2.1","82.3%","±1.5"
"    60 years and over","26.6%","±1.3","25.0%","±1.6","28.2%","±1.7"
"    62 years and over","23.6%","±1.2","22.3%","±1.6","25.0%","±1.7"
"    65 years and over","18.3%","±0.6","17.1%","±0.8","19.6%","±0.8"
"    75 years and over","7.6%","±0.5","6.6%","±0.5","8.7%","±0.6"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","45.6","±1.1","43.0","±1.4","48.4","±1.4"
"    Sex ratio (males per 100 females)","106.7","±4.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","62.7","±2.8","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","29.7","±1.4","(X)","(X)","(X)","(X)"
"        Child dependency ratio","33.0","±1.9","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.3%","(X)","(X)","(X)","(X)","(X)"
