"Label (Grouping)","Alpine County, California!!Total!!Estimate","Alpine County, California!!Total!!Margin of Error","Alpine County, California!!Male!!Estimate","Alpine County, California!!Male!!Margin of Error","Alpine County, California!!Female!!Estimate","Alpine County, California!!Female!!Margin of Error"
"Total population","1,197","±231","669","±151","528","±114"
"AGE","","","","","",""
"    Under 5 years","5.0%","±3.2","8.5%","±5.8","0.6%","±0.7"
"    5 to 9 years","8.0%","±2.9","7.0%","±4.4","9.3%","±3.7"
"    10 to 14 years","3.6%","±1.8","3.6%","±2.7","3.6%","±2.3"
"    15 to 19 years","9.1%","±3.8","9.6%","±5.1","8.5%","±5.5"
"    20 to 24 years","7.4%","±4.5","4.2%","±2.7","11.4%","±9.6"
"    25 to 29 years","2.9%","±1.9","3.3%","±2.8","2.5%","±2.3"
"    30 to 34 years","4.2%","±3.4","2.4%","±2.3","6.4%","±5.6"
"    35 to 39 years","3.0%","±1.9","4.6%","±3.2","0.9%","±1.2"
"    40 to 44 years","10.4%","±5.9","13.9%","±9.1","6.1%","±4.8"
"    45 to 49 years","6.4%","±3.3","2.8%","±2.5","11.0%","±6.3"
"    50 to 54 years","7.9%","±4.3","7.3%","±6.1","8.5%","±3.9"
"    55 to 59 years","12.1%","±5.6","14.5%","±8.3","9.1%","±4.1"
"    60 to 64 years","7.7%","±2.9","6.9%","±3.3","8.7%","±4.0"
"    65 to 69 years","4.0%","±1.9","3.1%","±2.3","5.1%","±3.2"
"    70 to 74 years","3.3%","±1.7","1.9%","±1.4","4.9%","±2.9"
"    75 to 79 years","3.2%","±2.2","4.5%","±3.7","1.5%","±1.2"
"    80 to 84 years","1.4%","±1.1","1.0%","±1.4","1.9%","±1.8"
"    85 years and over","0.4%","±0.6","0.7%","±1.0","0.0%","±6.9"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.6%","±3.3","10.6%","±4.6","12.9%","±4.7"
"    15 to 17 years","5.9%","±3.2","5.4%","±4.0","6.6%","±5.3"
"    18 to 24 years","10.5%","±6.5","8.4%","±5.2","13.3%","±11.0"
"    15 to 44 years","37.0%","±7.4","38.0%","±9.2","35.8%","±10.8"
"    16 years and over","82.6%","±4.2","80.3%","±6.7","85.6%","±5.0"
"    18 years and over","77.4%","±5.0","75.5%","±7.6","79.9%","±6.4"
"    60 years and over","20.0%","±5.1","18.2%","±6.0","22.2%","±6.4"
"    62 years and over","17.0%","±4.9","16.0%","±5.9","18.2%","±6.1"
"    65 years and over","12.3%","±4.1","11.4%","±5.3","13.4%","±5.1"
"    75 years and over","5.0%","±2.9","6.3%","±4.3","3.4%","±2.5"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","43.2","±5.7","40.8","±5.8","45.6","±5.9"
"    Sex ratio (males per 100 females)","126.7","±26.6","(X)","(X)","(X)","(X)"
"    Age dependency ratio","53.5","±14.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","18.8","±7.6","(X)","(X)","(X)","(X)"
"        Child dependency ratio","34.6","±10.2","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","1.3%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.6%","(X)","(X)","(X)","(X)","(X)"
