"Label (Grouping)","Sacramento County, California!!Total!!Estimate","Sacramento County, California!!Total!!Margin of Error","Sacramento County, California!!Male!!Estimate","Sacramento County, California!!Male!!Margin of Error","Sacramento County, California!!Female!!Estimate","Sacramento County, California!!Female!!Margin of Error"
"Total population","1,450,121","*****","709,996","±430","740,125","±430"
"AGE","","","","","",""
"    Under 5 years","6.9%","*****","7.2%","±0.1","6.6%","±0.1"
"    5 to 9 years","7.0%","±0.2","7.6%","±0.3","6.3%","±0.3"
"    10 to 14 years","6.8%","±0.2","6.8%","±0.3","6.8%","±0.3"
"    15 to 19 years","6.8%","±0.1","7.2%","±0.1","6.5%","±0.1"
"    20 to 24 years","7.4%","±0.1","7.6%","±0.1","7.3%","±0.1"
"    25 to 29 years","7.6%","±0.1","7.8%","±0.1","7.4%","±0.1"
"    30 to 34 years","7.2%","±0.1","7.3%","±0.1","7.0%","±0.1"
"    35 to 39 years","6.6%","±0.3","6.8%","±0.4","6.3%","±0.3"
"    40 to 44 years","6.7%","±0.2","6.6%","±0.4","6.7%","±0.3"
"    45 to 49 years","6.7%","±0.1","6.7%","±0.1","6.7%","±0.1"
"    50 to 54 years","6.9%","±0.1","6.8%","±0.1","7.0%","±0.1"
"    55 to 59 years","6.2%","±0.2","5.9%","±0.3","6.4%","±0.3"
"    60 to 64 years","5.4%","±0.2","5.2%","±0.3","5.6%","±0.3"
"    65 to 69 years","3.9%","±0.2","3.5%","±0.2","4.2%","±0.2"
"    70 to 74 years","2.6%","±0.2","2.5%","±0.2","2.8%","±0.2"
"    75 to 79 years","2.1%","±0.1","1.9%","±0.2","2.3%","±0.2"
"    80 to 84 years","1.5%","±0.1","1.3%","±0.1","1.7%","±0.2"
"    85 years and over","1.8%","±0.1","1.3%","±0.2","2.3%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.8%","±0.1","14.4%","±0.1","13.2%","±0.1"
"    15 to 17 years","4.3%","±0.1","4.5%","±0.1","4.1%","±0.1"
"    18 to 24 years","10.0%","±0.1","10.4%","±0.1","9.6%","±0.1"
"    15 to 44 years","42.3%","±0.1","43.3%","±0.1","41.2%","±0.1"
"    16 years and over","77.9%","±0.1","77.0%","±0.2","78.9%","±0.2"
"    18 years and over","75.1%","*****","74.0%","±0.1","76.1%","±0.1"
"    60 years and over","17.3%","±0.2","15.6%","±0.3","19.0%","±0.3"
"    62 years and over","15.0%","±0.2","13.3%","±0.2","16.7%","±0.2"
"    65 years and over","11.9%","±0.1","10.4%","±0.1","13.4%","±0.1"
"    75 years and over","5.4%","±0.1","4.4%","±0.1","6.4%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","35.2","±0.1","33.9","±0.2","36.4","±0.3"
"    Sex ratio (males per 100 females)","95.9","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","58.4","±0.1","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","18.9","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","39.5","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.4%","(X)","(X)","(X)","(X)","(X)"
