"Label (Grouping)","Sacramento County, California!!Total!!Estimate","Sacramento County, California!!Total!!Margin of Error","Sacramento County, California!!Male!!Estimate","Sacramento County, California!!Male!!Margin of Error","Sacramento County, California!!Female!!Estimate","Sacramento County, California!!Female!!Margin of Error"
"Total population","1,422,348","*****","696,786","*****","725,562","*****"
"AGE","","","","","",""
"    Under 5 years","7.1%","*****","7.4%","*****","6.8%","*****"
"    5 to 9 years","6.9%","±0.1","7.3%","±0.2","6.5%","±0.2"
"    10 to 14 years","7.0%","±0.1","7.3%","±0.2","6.8%","±0.2"
"    15 to 19 years","7.3%","*****","7.6%","*****","6.9%","*****"
"    20 to 24 years","7.3%","*****","7.4%","*****","7.1%","*****"
"    25 to 29 years","7.7%","*****","7.8%","*****","7.5%","*****"
"    30 to 34 years","7.0%","*****","7.1%","*****","6.8%","*****"
"    35 to 39 years","6.7%","±0.1","6.8%","±0.2","6.5%","±0.2"
"    40 to 44 years","6.8%","±0.1","6.9%","±0.2","6.8%","±0.2"
"    45 to 49 years","7.1%","*****","7.1%","*****","7.0%","*****"
"    50 to 54 years","6.9%","*****","6.8%","*****","7.0%","*****"
"    55 to 59 years","6.0%","±0.1","5.8%","±0.1","6.3%","±0.1"
"    60 to 64 years","5.0%","±0.1","4.8%","±0.1","5.1%","±0.1"
"    65 to 69 years","3.4%","±0.1","3.1%","±0.1","3.7%","±0.1"
"    70 to 74 years","2.6%","±0.1","2.4%","±0.1","2.8%","±0.1"
"    75 to 79 years","2.0%","±0.1","1.8%","±0.1","2.2%","±0.1"
"    80 to 84 years","1.7%","±0.1","1.4%","±0.1","1.9%","±0.1"
"    85 years and over","1.7%","±0.1","1.1%","±0.1","2.2%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.9%","*****","14.5%","*****","13.3%","*****"
"    15 to 17 years","4.5%","*****","4.7%","*****","4.3%","*****"
"    18 to 24 years","10.1%","*****","10.4%","*****","9.7%","*****"
"    15 to 44 years","42.7%","*****","43.7%","*****","41.6%","*****"
"    16 years and over","77.5%","±0.1","76.5%","±0.1","78.4%","±0.1"
"    18 years and over","74.5%","*****","73.4%","*****","75.6%","*****"
"    60 years and over","16.3%","±0.1","14.6%","±0.1","17.9%","±0.1"
"    62 years and over","14.1%","±0.1","12.5%","±0.1","15.6%","±0.1"
"    65 years and over","11.3%","*****","9.8%","*****","12.8%","*****"
"    75 years and over","5.3%","±0.1","4.3%","±0.1","6.3%","*****"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","34.9","±0.1","33.6","±0.1","36.1","±0.2"
"    Sex ratio (males per 100 females)","96.0","*****","(X)","(X)","(X)","(X)"
"    Age dependency ratio","58.3","*****","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","17.9","*****","(X)","(X)","(X)","(X)"
"        Child dependency ratio","40.3","*****","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.2%","(X)","(X)","(X)","(X)","(X)"
