"Label (Grouping)","Sacramento County, California!!Total!!Estimate","Sacramento County, California!!Total!!Margin of Error","Sacramento County, California!!Male!!Estimate","Sacramento County, California!!Male!!Margin of Error","Sacramento County, California!!Female!!Estimate","Sacramento County, California!!Female!!Margin of Error"
"Total population","1,514,460","*****","739,516","±497","774,944","±497"
"AGE","","","","","",""
"    Under 5 years","6.6%","*****","6.8%","±0.1","6.3%","±0.1"
"    5 to 9 years","6.4%","±0.3","6.6%","±0.4","6.2%","±0.4"
"    10 to 14 years","7.0%","±0.3","7.4%","±0.4","6.7%","±0.4"
"    15 to 19 years","6.2%","±0.1","6.5%","±0.1","6.0%","±0.1"
"    20 to 24 years","6.6%","±0.1","6.9%","±0.1","6.2%","±0.1"
"    25 to 29 years","8.0%","±0.1","8.2%","±0.1","7.9%","±0.1"
"    30 to 34 years","7.5%","±0.1","7.6%","±0.1","7.4%","±0.1"
"    35 to 39 years","6.7%","±0.3","6.7%","±0.4","6.6%","±0.3"
"    40 to 44 years","6.3%","±0.3","6.4%","±0.4","6.2%","±0.3"
"    45 to 49 years","6.5%","±0.1","6.5%","±0.1","6.4%","±0.1"
"    50 to 54 years","6.4%","±0.1","6.5%","±0.1","6.4%","±0.1"
"    55 to 59 years","6.3%","±0.2","6.2%","±0.3","6.4%","±0.3"
"    60 to 64 years","5.8%","±0.2","5.5%","±0.3","6.1%","±0.3"
"    65 to 69 years","4.7%","±0.2","4.3%","±0.2","5.0%","±0.3"
"    70 to 74 years","3.2%","±0.2","3.1%","±0.2","3.4%","±0.3"
"    75 to 79 years","2.3%","±0.1","2.0%","±0.2","2.6%","±0.2"
"    80 to 84 years","1.5%","±0.1","1.3%","±0.2","1.8%","±0.2"
"    85 years and over","1.8%","±0.2","1.4%","±0.2","2.3%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.4%","±0.1","14.1%","±0.1","12.9%","±0.1"
"    15 to 17 years","4.0%","±0.1","4.1%","±0.1","3.8%","±0.1"
"    18 to 24 years","8.8%","±0.1","9.3%","±0.1","8.4%","±0.1"
"    15 to 44 years","41.3%","±0.1","42.3%","±0.1","40.3%","±0.1"
"    16 years and over","78.7%","±0.1","77.7%","±0.2","79.8%","±0.2"
"    18 years and over","76.0%","*****","75.0%","±0.1","77.0%","±0.1"
"    60 years and over","19.4%","±0.2","17.6%","±0.3","21.2%","±0.3"
"    62 years and over","17.0%","±0.2","15.2%","±0.3","18.6%","±0.3"
"    65 years and over","13.6%","±0.1","12.1%","±0.1","15.1%","±0.1"
"    75 years and over","5.7%","±0.1","4.7%","±0.1","6.7%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","36.0","±0.2","34.9","±0.2","37.3","±0.2"
"    Sex ratio (males per 100 females)","95.4","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","60.2","±0.1","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","21.8","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","38.4","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.2%","(X)","(X)","(X)","(X)","(X)"
