"Label (Grouping)","Sierra County, California!!Total!!Estimate","Sierra County, California!!Total!!Margin of Error","Sierra County, California!!Male!!Estimate","Sierra County, California!!Male!!Margin of Error","Sierra County, California!!Female!!Estimate","Sierra County, California!!Female!!Margin of Error"
"Total population","3,163","±231","1,552","±162","1,611","±133"
"AGE","","","","","",""
"    Under 5 years","5.2%","±1.5","1.9%","±1.9","8.3%","±2.9"
"    5 to 9 years","4.1%","±2.0","5.3%","±3.3","3.0%","±2.2"
"    10 to 14 years","4.2%","±1.6","2.6%","±1.6","5.8%","±2.3"
"    15 to 19 years","6.3%","±3.2","7.6%","±5.1","5.0%","±4.5"
"    20 to 24 years","2.1%","±1.6","2.7%","±2.7","1.4%","±1.7"
"    25 to 29 years","3.0%","±1.9","2.8%","±2.3","3.2%","±3.1"
"    30 to 34 years","3.2%","±1.9","5.1%","±3.5","1.3%","±1.9"
"    35 to 39 years","4.3%","±1.9","2.8%","±2.0","5.8%","±2.9"
"    40 to 44 years","7.6%","±2.0","7.4%","±3.4","7.8%","±3.1"
"    45 to 49 years","7.3%","±2.4","8.5%","±4.5","6.1%","±2.1"
"    50 to 54 years","9.5%","±1.7","9.7%","±2.7","9.4%","±1.4"
"    55 to 59 years","12.9%","±2.7","13.1%","±5.1","12.7%","±3.9"
"    60 to 64 years","8.6%","±3.0","8.6%","±4.1","8.6%","±3.8"
"    65 to 69 years","9.3%","±1.9","9.0%","±3.1","9.6%","±2.6"
"    70 to 74 years","3.8%","±1.6","4.4%","±2.9","3.1%","±2.1"
"    75 to 79 years","5.4%","±1.7","5.2%","±2.6","5.6%","±1.8"
"    80 to 84 years","1.6%","±1.4","2.3%","±2.8","1.1%","±1.0"
"    85 years and over","1.7%","±1.0","1.2%","±1.1","2.2%","±1.6"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","8.4%","±1.6","7.9%","±3.1","8.9%","±1.5"
"    15 to 17 years","3.2%","±1.3","4.3%","±2.4","2.1%","±2.7"
"    18 to 24 years","5.1%","±2.6","6.0%","±3.3","4.3%","±3.8"
"    15 to 44 years","26.4%","±2.8","28.4%","±4.6","24.5%","±3.8"
"    16 years and over","85.3%","±1.7","87.8%","±3.4","82.8%","±3.3"
"    18 years and over","83.3%","±1.9","86.0%","±4.0","80.7%","±4.1"
"    60 years and over","30.4%","±3.5","30.6%","±4.7","30.1%","±4.6"
"    62 years and over","27.3%","±3.5","26.4%","±4.1","28.2%","±4.5"
"    65 years and over","21.8%","±1.9","22.0%","±2.8","21.5%","±2.3"
"    75 years and over","8.8%","±1.2","8.6%","±2.1","8.9%","±0.8"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","51.6","±2.4","53.5","±6.6","51.5","±1.5"
"    Sex ratio (males per 100 females)","96.3","±11.5","(X)","(X)","(X)","(X)"
"    Age dependency ratio","62.6","±6.2","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","35.4","±4.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","27.2","±3.8","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.7%","(X)","(X)","(X)","(X)","(X)"
