"Label (Grouping)","San Bernardino County, California!!Total!!Estimate","San Bernardino County, California!!Total!!Margin of Error","San Bernardino County, California!!Male!!Estimate","San Bernardino County, California!!Male!!Margin of Error","San Bernardino County, California!!Female!!Estimate","San Bernardino County, California!!Female!!Margin of Error"
"Total population","2,081,313","*****","1,035,344","±553","1,045,969","±553"
"AGE","","","","","",""
"    Under 5 years","7.6%","*****","7.8%","±0.1","7.4%","±0.1"
"    5 to 9 years","7.7%","±0.2","7.7%","±0.4","7.6%","±0.4"
"    10 to 14 years","7.8%","±0.2","8.2%","±0.4","7.5%","±0.4"
"    15 to 19 years","8.3%","±0.1","8.5%","±0.1","8.1%","±0.1"
"    20 to 24 years","8.3%","±0.1","8.7%","±0.1","8.0%","±0.1"
"    25 to 29 years","7.3%","±0.1","7.5%","±0.1","7.1%","±0.1"
"    30 to 34 years","6.9%","±0.1","7.0%","±0.1","6.8%","±0.1"
"    35 to 39 years","6.4%","±0.3","6.4%","±0.3","6.4%","±0.3"
"    40 to 44 years","6.7%","±0.3","6.6%","±0.3","6.7%","±0.3"
"    45 to 49 years","6.6%","±0.1","6.6%","±0.1","6.7%","±0.1"
"    50 to 54 years","6.6%","±0.1","6.5%","±0.1","6.7%","±0.1"
"    55 to 59 years","5.5%","±0.2","5.3%","±0.3","5.7%","±0.2"
"    60 to 64 years","4.8%","±0.2","4.7%","±0.3","4.8%","±0.2"
"    65 to 69 years","3.2%","±0.1","3.0%","±0.2","3.5%","±0.2"
"    70 to 74 years","2.4%","±0.1","2.3%","±0.2","2.5%","±0.2"
"    75 to 79 years","1.6%","±0.1","1.3%","±0.1","1.8%","±0.2"
"    80 to 84 years","1.2%","±0.1","1.0%","±0.1","1.4%","±0.1"
"    85 years and over","1.2%","±0.1","0.8%","±0.1","1.4%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.5%","±0.1","15.9%","±0.1","15.1%","±0.1"
"    15 to 17 years","5.1%","±0.1","5.2%","±0.1","5.0%","±0.1"
"    18 to 24 years","11.6%","±0.1","12.0%","±0.1","11.1%","±0.1"
"    15 to 44 years","43.8%","±0.1","44.7%","±0.1","43.0%","±0.1"
"    16 years and over","75.3%","±0.1","74.7%","±0.2","75.8%","±0.2"
"    18 years and over","71.8%","*****","71.1%","±0.1","72.6%","±0.1"
"    60 years and over","14.3%","±0.2","13.2%","±0.3","15.4%","±0.2"
"    62 years and over","12.2%","±0.2","11.1%","±0.2","13.3%","±0.2"
"    65 years and over","9.6%","±0.1","8.5%","±0.1","10.6%","±0.1"
"    75 years and over","4.0%","±0.1","3.2%","±0.1","4.7%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","32.2","±0.2","31.1","±0.2","33.3","±0.2"
"    Sex ratio (males per 100 females)","99.0","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","60.6","±0.1","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","15.3","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","45.2","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.2%","(X)","(X)","(X)","(X)","(X)"
