,    Under 5 years,Year,    5 to 9 years,    10 to 14 years,    15 to 19 years,    20 to 24 years,    25 to 29 years,    30 to 34 years,    35 to 39 years,    40 to 44 years,    45 to 49 years,    50 to 54 years,    55 to 59 years,    60 to 64 years,    65 to 69 years,    70 to 74 years,    75 to 79 years,    80 to 84 years,    85 years and over,Counties,time_period
"Madera County, California!!Total!!Estimate",7.2%,,8.2%,7.6%,7.3%,7.6%,7.2%,6.7%,5.5%,6.5%,6.1%,5.7%,6.2%,5.0%,4.5%,3.7%,2.5%,1.1%,1.3%,,
"Madera County, California!!Total!!Estimate",7.9%,,8.4%,7.5%,7.4%,7.5%,6.9%,6.9%,6.5%,6.0%,6.3%,6.1%,5.2%,5.5%,4.2%,2.8%,2.4%,1.3%,1.3%,,
"Madera County, California!!Total!!Estimate",7.6%,,8.1%,7.6%,7.3%,7.3%,7.0%,6.9%,6.4%,6.1%,6.0%,5.9%,5.7%,5.3%,4.4%,3.3%,2.3%,1.5%,1.3%,,
"Madera County, California!!Total!!Estimate",8.0%,,7.6%,7.9%,7.9%,7.2%,7.0%,6.7%,6.2%,6.5%,6.6%,6.2%,5.5%,5.0%,4.0%,2.7%,2.2%,1.4%,1.3%,,
"Lake County, California!!Total!!Estimate",5.3%,,6.2%,6.0%,5.4%,2.9%,5.7%,4.0%,8.7%,4.0%,6.4%,5.9%,9.1%,7.0%,8.4%,6.1%,4.2%,1.9%,3.0%,,
"Lake County, California!!Total!!Estimate",5.4%,,5.0%,6.3%,5.4%,5.0%,6.5%,4.8%,5.0%,6.1%,5.8%,9.1%,9.2%,8.3%,7.5%,3.2%,3.0%,2.3%,2.3%,,
"Lake County, California!!Total!!Estimate",5.6%,,5.5%,5.6%,5.9%,5.3%,5.6%,5.3%,5.2%,4.9%,6.1%,7.6%,8.8%,8.3%,7.5%,4.8%,3.4%,2.4%,2.2%,,
"Lake County, California!!Total!!Estimate",5.5%,,5.8%,5.8%,6.4%,5.1%,5.2%,5.0%,6.0%,5.2%,7.1%,8.4%,8.1%,8.6%,5.8%,4.4%,2.6%,2.3%,2.5%,,
"Marin County, California!!Total!!Estimate",4.9%,,5.7%,6.3%,5.6%,4.5%,3.9%,4.4%,6.3%,6.7%,7.7%,8.0%,7.9%,7.4%,7.1%,5.2%,3.3%,2.2%,2.9%,,
"Marin County, California!!Total!!Estimate",4.9%,,5.9%,6.3%,5.4%,4.4%,4.2%,4.9%,5.7%,7.2%,8.0%,8.1%,7.8%,7.8%,6.5%,4.8%,3.3%,2.3%,2.6%,,
"Marin County, California!!Total!!Estimate",5.3%,,5.8%,6.1%,5.7%,3.9%,4.4%,5.0%,5.8%,7.9%,7.9%,8.3%,7.9%,8.0%,6.0%,4.3%,3.0%,2.5%,2.4%,,
"Marin County, California!!Total!!Estimate",5.5%,,5.9%,5.8%,5.2%,4.1%,4.6%,5.1%,6.5%,7.9%,8.3%,8.4%,8.3%,7.5%,5.6%,3.7%,2.8%,2.4%,2.5%,,
"Mendocino County, California!!Total!!Estimate",6.1%,,5.9%,6.5%,6.6%,4.3%,5.3%,6.4%,7.1%,4.1%,6.0%,6.2%,6.9%,8.7%,8.4%,4.2%,3.4%,1.7%,2.3%,,
"Mendocino County, California!!Total!!Estimate",5.8%,,6.0%,6.4%,6.5%,6.0%,4.7%,5.2%,5.5%,6.9%,5.7%,7.7%,7.5%,9.0%,6.3%,3.8%,2.6%,2.0%,2.5%,,
"Mendocino County, California!!Total!!Estimate",5.9%,,6.4%,5.7%,6.0%,5.4%,5.6%,6.1%,6.2%,5.5%,5.7%,6.8%,7.2%,8.5%,7.4%,4.4%,2.9%,1.8%,2.4%,,
"Mendocino County, California!!Total!!Estimate",6.0%,,5.8%,6.3%,6.5%,5.9%,5.7%,5.9%,5.5%,6.2%,6.4%,7.7%,8.3%,7.9%,5.4%,3.5%,2.4%,2.4%,2.2%,,
"Modoc County, California!!Total!!Estimate",5.0%,,4.8%,7.5%,6.1%,4.7%,4.2%,4.7%,4.9%,5.3%,8.0%,7.9%,9.0%,7.5%,7.7%,4.4%,4.2%,1.6%,2.3%,,
"Modoc County, California!!Total!!Estimate",4.2%,,5.9%,6.3%,5.8%,3.8%,4.6%,5.9%,4.5%,5.9%,5.9%,7.4%,6.7%,10.0%,8.7%,5.1%,5.4%,1.7%,2.2%,,
"Los Angeles County, California!!Total!!Estimate",6.2%,,6.1%,6.1%,6.5%,7.3%,8.4%,7.5%,7.0%,6.7%,6.9%,6.7%,6.3%,5.4%,4.3%,3.1%,2.2%,1.6%,1.8%,,
"Los Angeles County, California!!Total!!Estimate",6.5%,,6.3%,6.6%,7.2%,7.9%,7.8%,7.4%,6.9%,7.3%,7.0%,6.8%,6.0%,4.9%,3.6%,2.6%,2.0%,1.6%,1.6%,,
"Los Angeles County, California!!Total!!Estimate",6.3%,,6.2%,6.3%,6.8%,7.7%,8.1%,7.5%,6.9%,7.0%,6.9%,6.8%,6.2%,5.2%,4.0%,2.8%,2.1%,1.6%,1.7%,,
"Los Angeles County, California!!Total!!Estimate",6.6%,,6.4%,6.9%,7.6%,7.7%,7.8%,7.3%,7.2%,7.4%,7.1%,6.7%,5.7%,4.6%,3.3%,2.5%,2.0%,1.6%,1.6%,,
"Lassen County, California!!Total!!Estimate",4.5%,,4.1%,5.0%,5.1%,9.9%,10.0%,9.5%,7.6%,6.4%,6.9%,6.6%,6.3%,5.9%,4.6%,2.8%,1.7%,1.6%,1.5%,,
"Lassen County, California!!Total!!Estimate",4.5%,,3.7%,5.2%,5.5%,9.4%,8.8%,9.7%,7.3%,8.5%,8.2%,7.4%,6.5%,5.3%,3.5%,2.3%,1.8%,1.6%,1.0%,,
"Sacramento County, California!!Total!!Estimate",6.6%,,6.4%,7.0%,6.2%,6.6%,8.0%,7.5%,6.7%,6.3%,6.5%,6.4%,6.3%,5.8%,4.7%,3.2%,2.3%,1.5%,1.8%,,
"Sacramento County, California!!Total!!Estimate",6.9%,,7.0%,6.8%,6.8%,7.4%,7.6%,7.2%,6.6%,6.7%,6.7%,6.9%,6.2%,5.4%,3.9%,2.6%,2.1%,1.5%,1.8%,,
"Sacramento County, California!!Total!!Estimate",6.7%,,6.8%,6.8%,6.5%,7.0%,7.8%,7.4%,6.5%,6.5%,6.5%,6.8%,6.4%,5.5%,4.3%,2.9%,2.2%,1.6%,1.8%,,
"Sacramento County, California!!Total!!Estimate",7.1%,,6.9%,7.0%,7.3%,7.3%,7.7%,7.0%,6.7%,6.8%,7.1%,6.9%,6.0%,5.0%,3.4%,2.6%,2.0%,1.7%,1.7%,,
"San Diego County, California!!Total!!Estimate",6.4%,,6.0%,6.0%,6.3%,7.9%,8.7%,7.7%,6.9%,6.2%,6.4%,6.4%,6.1%,5.6%,4.6%,3.2%,2.2%,1.6%,1.9%,,
"San Diego County, California!!Total!!Estimate",6.6%,,6.3%,6.1%,6.9%,8.7%,8.2%,7.4%,6.8%,6.6%,6.6%,6.8%,6.2%,4.9%,3.7%,2.7%,1.9%,1.8%,1.9%,,
"San Diego County, California!!Total!!Estimate",6.5%,,6.2%,6.0%,6.5%,8.3%,8.5%,7.6%,6.7%,6.5%,6.4%,6.6%,6.1%,5.3%,4.2%,2.9%,2.1%,1.7%,1.8%,,
"San Diego County, California!!Total!!Estimate",6.6%,,6.3%,6.3%,7.2%,8.7%,8.1%,7.2%,6.8%,6.8%,7.0%,6.8%,5.9%,4.8%,3.4%,2.5%,2.1%,1.7%,1.8%,,
"San Bernardino County, California!!Total!!Estimate",7.2%,,7.4%,7.5%,7.5%,7.9%,7.9%,7.0%,6.4%,6.4%,6.3%,6.3%,6.0%,5.2%,4.1%,2.6%,1.8%,1.2%,1.3%,,
"San Bernardino County, California!!Total!!Estimate",7.6%,,7.7%,7.8%,8.3%,8.3%,7.3%,6.9%,6.4%,6.7%,6.6%,6.6%,5.5%,4.8%,3.2%,2.4%,1.6%,1.2%,1.2%,,
"San Bernardino County, California!!Total!!Estimate",7.3%,,7.6%,7.6%,7.8%,8.2%,7.6%,7.0%,6.4%,6.4%,6.4%,6.5%,5.9%,4.9%,3.7%,2.5%,1.8%,1.2%,1.2%,,
"San Bernardino County, California!!Total!!Estimate",7.8%,,7.7%,8.3%,8.7%,8.0%,7.2%,6.7%,6.7%,6.7%,6.9%,6.6%,5.4%,4.3%,3.0%,2.2%,1.6%,1.2%,1.1%,,
"Placer County, California!!Total!!Estimate",5.3%,,6.4%,6.6%,6.6%,5.0%,5.3%,5.6%,6.1%,6.6%,6.9%,7.1%,7.0%,6.5%,6.0%,4.9%,3.0%,2.4%,2.7%,,
"Placer County, California!!Total!!Estimate",5.6%,,6.2%,7.4%,6.7%,5.5%,5.4%,5.7%,6.3%,6.8%,7.1%,7.5%,7.1%,5.8%,5.5%,3.9%,3.2%,2.0%,2.1%,,
"Placer County, California!!Total!!Estimate",5.4%,,6.5%,6.8%,6.6%,5.5%,5.2%,5.8%,6.2%,6.6%,7.0%,7.4%,7.0%,6.2%,5.6%,4.5%,3.2%,2.2%,2.3%,,
"Placer County, California!!Total!!Estimate",5.9%,,6.8%,7.1%,6.9%,5.3%,5.5%,5.6%,6.4%,7.0%,7.8%,7.4%,6.6%,6.0%,4.9%,3.6%,2.9%,2.1%,2.0%,,
"Riverside County, California!!Total!!Estimate",6.6%,,7.2%,7.3%,7.4%,7.2%,7.2%,6.6%,6.4%,6.2%,6.4%,6.4%,6.1%,5.1%,4.7%,3.2%,2.5%,1.7%,1.7%,,
"Riverside County, California!!Total!!Estimate",7.2%,,7.5%,7.8%,8.1%,7.5%,6.6%,6.5%,6.6%,6.5%,6.6%,6.5%,5.5%,4.8%,4.0%,2.9%,2.3%,1.7%,1.5%,,
"Riverside County, California!!Total!!Estimate",6.8%,,7.4%,7.5%,7.7%,7.4%,6.9%,6.6%,6.4%,6.4%,6.5%,6.5%,5.7%,5.0%,4.3%,3.1%,2.4%,1.7%,1.6%,,
"Riverside County, California!!Total!!Estimate",7.4%,,7.6%,8.1%,8.4%,7.1%,6.6%,6.4%,6.6%,6.8%,6.9%,6.4%,5.3%,4.5%,3.6%,2.9%,2.3%,1.7%,1.4%,,
"Plumas County, California!!Total!!Estimate",4.7%,,5.0%,4.0%,4.9%,4.1%,4.2%,5.4%,5.3%,4.8%,5.4%,7.6%,9.3%,10.5%,9.1%,6.6%,3.5%,3.0%,2.6%,,
"Plumas County, California!!Total!!Estimate",4.5%,,4.6%,5.7%,5.4%,4.5%,4.2%,4.8%,4.5%,5.9%,6.5%,8.8%,10.5%,8.5%,8.5%,4.8%,3.2%,3.1%,1.9%,,
"Monterey County, California!!Total!!Estimate",7.5%,,7.4%,7.3%,7.1%,7.3%,7.2%,7.3%,6.5%,6.4%,6.0%,6.0%,5.7%,5.4%,4.4%,2.9%,1.9%,1.6%,1.8%,,
"Monterey County, California!!Total!!Estimate",7.9%,,7.8%,6.8%,7.5%,7.9%,7.5%,7.5%,6.6%,6.3%,6.1%,6.3%,5.5%,5.2%,3.3%,2.7%,1.8%,1.4%,2.0%,,
"Monterey County, California!!Total!!Estimate",7.7%,,7.5%,7.2%,7.1%,7.7%,7.4%,7.4%,6.6%,6.4%,6.1%,6.1%,5.7%,5.2%,4.0%,2.7%,1.8%,1.6%,1.9%,,
"Monterey County, California!!Total!!Estimate",7.9%,,7.5%,6.8%,7.7%,7.9%,7.7%,7.2%,6.8%,6.4%,6.4%,6.4%,5.5%,4.9%,3.1%,2.5%,2.0%,1.5%,1.7%,,
"San Benito County, California!!Total!!Estimate",6.8%,,7.4%,8.0%,7.7%,7.0%,6.5%,6.6%,6.4%,6.6%,7.0%,7.2%,6.4%,5.4%,3.8%,2.9%,1.9%,1.2%,1.5%,,
"San Benito County, California!!Total!!Estimate",7.3%,,7.8%,8.4%,8.2%,6.5%,6.4%,6.4%,6.7%,6.9%,7.6%,7.1%,6.0%,4.7%,2.6%,3.1%,1.8%,1.3%,1.2%,,
"Orange County, California!!Total!!Estimate",6.0%,,6.0%,6.5%,6.6%,6.9%,7.5%,6.8%,6.6%,6.4%,7.3%,7.2%,6.6%,5.8%,4.6%,3.3%,2.4%,1.7%,2.0%,,
"Orange County, California!!Total!!Estimate",6.3%,,6.5%,6.7%,7.1%,7.5%,7.0%,6.7%,6.6%,7.5%,7.4%,7.2%,6.2%,5.0%,3.9%,2.9%,2.0%,1.7%,1.8%,,
"Orange County, California!!Total!!Estimate",6.1%,,6.2%,6.6%,6.8%,7.2%,7.2%,6.8%,6.5%,7.1%,7.3%,7.2%,6.5%,5.3%,4.3%,3.1%,2.3%,1.7%,1.8%,,
"Orange County, California!!Total!!Estimate",6.4%,,6.6%,6.9%,7.4%,7.2%,7.2%,6.6%,7.1%,7.5%,7.6%,7.1%,5.9%,4.8%,3.6%,2.7%,2.1%,1.7%,1.7%,,
"Nevada County, California!!Total!!Estimate",3.7%,,4.7%,6.3%,4.7%,4.2%,4.0%,6.7%,5.2%,4.9%,5.4%,6.5%,8.4%,9.4%,9.6%,6.3%,4.0%,2.5%,3.5%,,
"Nevada County, California!!Total!!Estimate",4.4%,,4.1%,5.5%,6.6%,4.6%,4.3%,4.8%,5.2%,5.2%,7.2%,8.2%,8.8%,10.0%,7.1%,5.2%,3.1%,2.9%,2.9%,,
"Nevada County, California!!Total!!Estimate",4.3%,,4.7%,5.4%,5.6%,4.7%,4.5%,5.2%,5.1%,5.3%,5.8%,7.4%,8.7%,9.8%,8.2%,5.8%,3.5%,2.8%,3.1%,,
"Nevada County, California!!Total!!Estimate",4.4%,,5.1%,5.6%,6.2%,4.7%,4.6%,4.7%,5.3%,5.5%,7.3%,8.7%,9.5%,8.8%,6.3%,4.7%,3.2%,2.8%,2.7%,,
"Santa Barbara County, California!!Total!!Estimate",6.5%,,6.1%,6.2%,8.5%,11.2%,6.7%,6.5%,5.7%,5.6%,5.7%,6.1%,5.9%,5.2%,4.3%,3.1%,2.4%,1.9%,2.3%,,
"Santa Barbara County, California!!Total!!Estimate",6.5%,,6.5%,5.7%,8.3%,11.1%,7.0%,6.3%,6.0%,5.4%,5.5%,5.7%,5.8%,5.6%,4.8%,3.2%,2.4%,2.1%,2.1%,,
"Santa Barbara County, California!!Total!!Estimate",6.5%,,6.3%,6.0%,8.7%,10.8%,6.9%,6.5%,5.5%,6.2%,6.2%,6.2%,6.0%,5.0%,4.0%,2.8%,2.3%,1.8%,2.4%,,
"Santa Barbara County, California!!Total!!Estimate",6.5%,,6.1%,6.2%,8.9%,10.5%,7.0%,6.3%,5.9%,6.0%,6.4%,6.5%,5.7%,4.9%,3.6%,2.7%,2.4%,1.8%,2.3%,,
"San Mateo County, California!!Total!!Estimate",5.7%,,5.9%,6.0%,5.3%,5.4%,7.1%,7.5%,7.6%,6.7%,7.3%,7.1%,6.8%,6.3%,5.1%,3.5%,2.5%,1.8%,2.3%,,
"San Mateo County, California!!Total!!Estimate",6.1%,,6.2%,5.8%,5.4%,5.6%,6.8%,7.4%,7.5%,7.1%,7.3%,7.4%,6.9%,6.0%,4.6%,3.4%,2.6%,1.8%,2.2%,,
"San Mateo County, California!!Total!!Estimate",6.2%,,6.4%,5.7%,5.5%,5.5%,6.8%,7.3%,7.3%,7.6%,7.5%,7.5%,7.1%,5.8%,4.3%,3.1%,2.5%,1.9%,2.1%,,
"San Mateo County, California!!Total!!Estimate",6.4%,,6.3%,5.8%,5.7%,5.6%,6.8%,7.1%,7.5%,7.6%,7.8%,7.5%,6.7%,5.8%,4.1%,2.9%,2.4%,2.0%,2.1%,,
"San Luis Obispo County, California!!Total!!Estimate",4.6%,,4.9%,5.4%,8.0%,10.4%,5.8%,5.7%,6.3%,4.3%,5.3%,6.3%,6.8%,7.1%,7.6%,3.9%,3.3%,1.9%,2.4%,,
"San Luis Obispo County, California!!Total!!Estimate",4.8%,,5.1%,5.6%,7.8%,11.0%,5.6%,6.0%,5.1%,5.7%,5.9%,7.1%,6.8%,7.2%,5.1%,3.7%,2.6%,2.2%,2.9%,,
"San Luis Obispo County, California!!Total!!Estimate",4.9%,,5.1%,5.1%,8.0%,10.8%,5.6%,6.0%,5.5%,5.1%,5.7%,6.6%,7.2%,6.9%,6.1%,4.0%,2.9%,2.2%,2.4%,,
"San Luis Obispo County, California!!Total!!Estimate",5.0%,,4.8%,5.5%,8.2%,10.4%,6.2%,5.5%,5.2%,5.8%,6.9%,7.5%,7.3%,6.4%,4.6%,3.4%,2.7%,2.2%,2.5%,,
"Solano County, California!!Total!!Estimate",6.2%,,6.2%,6.2%,6.1%,6.9%,7.6%,7.0%,6.6%,5.6%,6.3%,7.0%,7.0%,6.5%,5.4%,3.5%,2.4%,1.5%,1.9%,,
"Solano County, California!!Total!!Estimate",6.2%,,6.4%,6.5%,6.4%,7.2%,7.3%,6.9%,6.3%,6.1%,6.7%,7.3%,6.9%,6.4%,5.0%,3.1%,2.3%,1.5%,1.6%,,
"Solano County, California!!Total!!Estimate",6.3%,,6.2%,6.9%,6.8%,7.4%,7.1%,6.6%,6.1%,6.5%,7.2%,7.6%,7.1%,6.0%,4.6%,2.4%,2.3%,1.4%,1.5%,,
"Solano County, California!!Total!!Estimate",6.5%,,6.7%,6.8%,7.3%,7.1%,6.9%,6.4%,6.5%,6.7%,7.6%,7.7%,6.6%,5.8%,3.8%,2.6%,2.2%,1.5%,1.4%,,
"Sierra County, California!!Total!!Estimate",5.2%,,4.1%,4.2%,6.3%,2.1%,3.0%,3.2%,4.3%,7.6%,7.3%,9.5%,12.9%,8.6%,9.3%,3.8%,5.4%,1.6%,1.7%,,
"Sierra County, California!!Total!!Estimate",3.5%,,5.3%,4.4%,3.4%,2.2%,2.6%,3.9%,6.2%,4.8%,4.9%,8.2%,16.1%,8.4%,10.7%,5.9%,3.0%,3.3%,3.2%,,
"San Joaquin County, California!!Total!!Estimate",7.1%,,8.1%,7.5%,7.5%,7.0%,7.1%,6.8%,6.4%,6.3%,6.4%,6.3%,5.8%,5.2%,4.0%,3.3%,2.0%,1.5%,1.5%,,
"San Joaquin County, California!!Total!!Estimate",7.7%,,8.0%,8.1%,7.9%,7.4%,6.7%,6.6%,6.6%,6.4%,6.5%,6.5%,5.4%,5.0%,3.5%,2.7%,2.1%,1.4%,1.4%,,
"San Joaquin County, California!!Total!!Estimate",7.3%,,7.8%,8.0%,7.7%,7.3%,6.9%,6.7%,6.5%,6.4%,6.4%,6.5%,5.8%,5.0%,3.9%,2.9%,2.0%,1.4%,1.5%,,
"San Joaquin County, California!!Total!!Estimate",7.9%,,8.0%,8.2%,8.4%,7.2%,6.7%,6.5%,6.5%,6.7%,6.8%,6.5%,5.7%,4.4%,3.2%,2.5%,1.9%,1.5%,1.5%,,
"Santa Cruz County, California!!Total!!Estimate",5.3%,,5.5%,5.5%,8.5%,10.0%,5.9%,5.6%,6.5%,5.3%,6.4%,6.8%,7.1%,6.7%,5.4%,3.9%,2.7%,1.4%,1.5%,,
"Santa Cruz County, California!!Total!!Estimate",5.5%,,5.5%,5.6%,8.4%,10.2%,6.1%,6.1%,6.0%,5.9%,6.3%,6.9%,7.4%,6.6%,5.2%,3.1%,2.1%,1.4%,1.8%,,
"Santa Cruz County, California!!Total!!Estimate",5.6%,,5.3%,6.3%,8.5%,9.8%,6.0%,6.1%,5.7%,6.7%,6.5%,7.2%,8.1%,5.9%,4.8%,2.2%,1.7%,1.5%,2.0%,,
"Santa Cruz County, California!!Total!!Estimate",5.7%,,5.6%,5.9%,8.5%,9.8%,6.3%,6.1%,5.8%,6.8%,7.0%,7.6%,7.6%,6.0%,3.7%,2.4%,1.8%,1.7%,1.7%,,
