,    Under 5 years,Year,    5 to 9 years,    10 to 14 years,    15 to 19 years,    20 to 24 years,    25 to 29 years,    30 to 34 years,    35 to 39 years,    40 to 44 years,    45 to 49 years,    50 to 54 years,    55 to 59 years,    60 to 64 years,    65 to 69 years,    70 to 74 years,    75 to 79 years,    80 to 84 years,    85 years and over,Counties,time_period
"Tehama County, California!!Total!!Estimate",6.1%,,7.1%,6.6%,6.3%,5.9%,6.0%,5.6%,5.6%,5.8%,6.1%,7.3%,6.8%,6.9%,5.9%,4.6%,3.6%,1.8%,2.1%,,
"Tehama County, California!!Total!!Estimate",6.8%,,6.7%,7.2%,7.3%,5.8%,5.8%,5.5%,5.4%,6.2%,7.1%,7.2%,7.2%,5.8%,5.1%,4.0%,3.2%,1.9%,1.8%,,
"Stanislaus County, California!!Total!!Estimate",7.3%,,7.3%,8.0%,7.2%,6.9%,7.5%,7.0%,6.4%,5.9%,6.1%,6.2%,5.9%,5.3%,3.9%,3.5%,2.3%,1.5%,1.5%,,
"Stanislaus County, California!!Total!!Estimate",7.6%,,7.2%,8.4%,7.9%,7.4%,7.0%,6.6%,5.9%,6.8%,6.8%,6.6%,5.5%,5.1%,3.7%,2.7%,1.8%,1.5%,1.6%,,
"Stanislaus County, California!!Total!!Estimate",7.4%,,7.5%,7.9%,7.5%,7.3%,7.2%,6.8%,6.2%,6.4%,6.3%,6.5%,5.9%,5.0%,4.0%,3.0%,2.1%,1.5%,1.6%,,
"Stanislaus County, California!!Total!!Estimate",7.8%,,7.4%,8.3%,8.2%,7.3%,7.1%,6.6%,6.4%,6.6%,6.8%,6.5%,5.7%,4.5%,3.3%,2.5%,1.8%,1.6%,1.5%,,
"Sonoma County, California!!Total!!Estimate",5.1%,,5.6%,6.0%,5.8%,6.0%,6.6%,6.4%,6.2%,6.2%,6.4%,7.0%,6.7%,7.9%,7.2%,4.0%,2.8%,1.8%,2.4%,,
"Sonoma County, California!!Total!!Estimate",5.6%,,6.0%,6.0%,6.3%,7.0%,6.4%,6.3%,6.0%,6.2%,6.8%,7.6%,7.4%,7.1%,5.0%,3.5%,2.4%,1.8%,2.4%,,
"Sonoma County, California!!Total!!Estimate",5.3%,,5.8%,5.8%,6.2%,6.4%,6.5%,6.5%,6.0%,6.3%,6.5%,7.3%,7.3%,7.3%,6.1%,3.9%,2.6%,1.9%,2.3%,,
"Sonoma County, California!!Total!!Estimate",5.8%,,6.1%,6.1%,6.9%,6.7%,6.5%,6.1%,6.2%,6.4%,7.3%,7.7%,7.4%,6.8%,4.5%,3.0%,2.4%,1.9%,2.4%,,
"Ventura County, California!!Total!!Estimate",6.1%,,6.6%,6.7%,6.8%,7.0%,6.8%,6.4%,6.3%,6.1%,6.7%,7.0%,6.8%,6.2%,5.0%,3.5%,2.5%,1.6%,2.0%,,
"Ventura County, California!!Total!!Estimate",6.6%,,7.1%,6.8%,7.3%,7.3%,6.5%,6.4%,6.5%,6.4%,7.1%,7.5%,6.6%,5.3%,4.2%,2.7%,2.2%,1.6%,1.9%,,
"Ventura County, California!!Total!!Estimate",6.7%,,7.0%,7.1%,7.7%,6.9%,6.6%,6.2%,6.5%,7.0%,7.5%,7.4%,6.1%,5.3%,3.8%,2.5%,2.1%,1.7%,1.7%,,
"Ventura County, California!!Total!!Estimate",6.3%,,6.6%,7.0%,7.0%,7.2%,6.6%,6.4%,6.3%,6.4%,6.9%,7.3%,6.9%,5.6%,4.6%,3.2%,2.3%,1.6%,1.9%,,
"Yuba County, California!!Total!!Estimate",8.5%,,9.2%,6.4%,5.9%,9.2%,8.0%,6.4%,5.5%,6.3%,5.6%,6.8%,5.7%,6.0%,3.7%,2.3%,1.7%,1.5%,1.2%,,
"Yuba County, California!!Total!!Estimate",7.6%,,8.7%,7.6%,6.3%,7.3%,8.3%,8.0%,6.7%,5.1%,5.4%,6.2%,5.9%,6.1%,5.2%,1.7%,1.4%,1.0%,1.5%,,
"Yuba County, California!!Total!!Estimate",8.3%,,8.1%,7.2%,6.7%,7.7%,8.2%,7.2%,5.9%,6.0%,5.7%,6.2%,6.4%,4.9%,4.4%,2.6%,1.9%,1.3%,1.3%,,
"Yuba County, California!!Total!!Estimate",8.5%,,7.9%,7.9%,7.5%,7.5%,7.7%,7.1%,5.9%,6.2%,6.6%,6.5%,5.3%,5.2%,3.2%,2.5%,1.5%,1.7%,1.1%,,
United States!!Total!!Estimate,6.1%,,6.3%,6.4%,6.7%,6.9%,7.0%,6.7%,6.5%,6.1%,6.5%,6.8%,6.7%,6.1%,5.2%,3.7%,2.6%,1.8%,1.9%,,
United States!!Total!!Estimate,6.3%,,6.5%,6.6%,6.9%,7.2%,6.8%,6.6%,6.2%,6.7%,6.9%,7.2%,6.6%,5.7%,4.4%,3.2%,2.4%,1.9%,1.9%,,
"San Francisco County, California!!Total!!Estimate",4.4%,,3.5%,3.3%,4.3%,7.1%,11.1%,10.1%,8.7%,7.9%,7.1%,6.7%,6.2%,5.8%,3.8%,3.1%,2.7%,2.1%,2.2%,,
