"Label (Grouping)","Ventura County, California!!Total!!Estimate","Ventura County, California!!Total!!Margin of Error","Ventura County, California!!Male!!Estimate","Ventura County, California!!Male!!Margin of Error","Ventura County, California!!Female!!Estimate","Ventura County, California!!Female!!Margin of Error"
"Total population","843,110","*****","417,442","±96","425,668","±96"
"AGE","","","","","",""
"    Under 5 years","6.3%","±0.1","6.5%","±0.1","6.2%","±0.1"
"    5 to 9 years","6.6%","±0.1","6.6%","±0.2","6.7%","±0.2"
"    10 to 14 years","7.0%","±0.1","7.4%","±0.2","6.6%","±0.2"
"    15 to 19 years","7.0%","±0.1","7.3%","±0.1","6.8%","±0.1"
"    20 to 24 years","7.2%","±0.1","7.5%","±0.1","6.9%","±0.1"
"    25 to 29 years","6.6%","±0.1","7.0%","±0.1","6.3%","±0.1"
"    30 to 34 years","6.4%","±0.1","6.6%","±0.1","6.2%","±0.1"
"    35 to 39 years","6.3%","±0.2","6.3%","±0.2","6.3%","±0.2"
"    40 to 44 years","6.4%","±0.2","6.4%","±0.2","6.3%","±0.2"
"    45 to 49 years","6.9%","±0.1","6.9%","±0.1","6.9%","±0.1"
"    50 to 54 years","7.3%","±0.1","7.2%","±0.1","7.3%","±0.1"
"    55 to 59 years","6.9%","±0.1","6.8%","±0.2","6.9%","±0.1"
"    60 to 64 years","5.6%","±0.1","5.5%","±0.2","5.8%","±0.1"
"    65 to 69 years","4.6%","±0.1","4.4%","±0.1","4.7%","±0.1"
"    70 to 74 years","3.2%","±0.1","3.0%","±0.1","3.3%","±0.1"
"    75 to 79 years","2.3%","±0.1","2.1%","±0.1","2.5%","±0.1"
"    80 to 84 years","1.6%","±0.1","1.4%","±0.1","1.8%","±0.1"
"    85 years and over","1.9%","±0.1","1.4%","±0.1","2.5%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.6%","±0.1","13.9%","±0.1","13.3%","±0.1"
"    15 to 17 years","4.3%","±0.1","4.4%","±0.1","4.2%","±0.1"
"    18 to 24 years","9.9%","±0.1","10.3%","±0.1","9.5%","±0.1"
"    15 to 44 years","39.9%","±0.1","41.0%","±0.1","38.7%","±0.1"
"    16 years and over","78.6%","±0.1","78.1%","±0.1","79.1%","±0.1"
"    18 years and over","75.8%","*****","75.1%","±0.1","76.4%","±0.1"
"    60 years and over","19.2%","±0.1","17.7%","±0.2","20.7%","±0.1"
"    62 years and over","16.8%","±0.1","15.3%","±0.2","18.2%","±0.1"
"    65 years and over","13.6%","±0.1","12.2%","±0.1","14.9%","±0.1"
"    75 years and over","5.9%","±0.1","4.9%","±0.1","6.8%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","37.3","±0.2","36.0","±0.1","38.5","±0.2"
"    Sex ratio (males per 100 females)","98.1","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","60.8","±0.1","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","21.9","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","38.9","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.5%","(X)","(X)","(X)","(X)","(X)"
