"Label (Grouping)","Ventura County, California!!Total!!Estimate","Ventura County, California!!Total!!Margin of Error","Ventura County, California!!Male!!Estimate","Ventura County, California!!Male!!Margin of Error","Ventura County, California!!Female!!Estimate","Ventura County, California!!Female!!Margin of Error"
"Total population","849,738","*****","420,103","±448","429,635","±448"
"AGE","","","","","",""
"    Under 5 years","6.1%","±0.1","6.2%","±0.1","6.0%","±0.1"
"    5 to 9 years","6.6%","±0.3","6.6%","±0.4","6.5%","±0.5"
"    10 to 14 years","6.7%","±0.3","7.0%","±0.4","6.4%","±0.5"
"    15 to 19 years","6.8%","±0.1","7.0%","±0.1","6.6%","±0.1"
"    20 to 24 years","7.0%","±0.1","7.3%","±0.1","6.8%","±0.1"
"    25 to 29 years","6.8%","±0.1","7.2%","±0.1","6.4%","±0.1"
"    30 to 34 years","6.4%","±0.1","6.6%","±0.1","6.1%","±0.1"
"    35 to 39 years","6.3%","±0.4","6.5%","±0.5","6.0%","±0.5"
"    40 to 44 years","6.1%","±0.4","5.9%","±0.5","6.3%","±0.5"
"    45 to 49 years","6.7%","±0.1","6.7%","±0.1","6.7%","±0.1"
"    50 to 54 years","7.0%","±0.1","7.0%","±0.1","7.0%","±0.1"
"    55 to 59 years","6.8%","±0.4","6.4%","±0.4","7.1%","±0.5"
"    60 to 64 years","6.2%","±0.4","6.3%","±0.4","6.1%","±0.5"
"    65 to 69 years","5.0%","±0.2","4.8%","±0.4","5.2%","±0.3"
"    70 to 74 years","3.5%","±0.2","3.3%","±0.4","3.6%","±0.3"
"    75 to 79 years","2.5%","±0.2","2.4%","±0.2","2.6%","±0.2"
"    80 to 84 years","1.6%","±0.2","1.1%","±0.2","2.0%","±0.3"
"    85 years and over","2.0%","±0.2","1.5%","±0.2","2.4%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.3%","±0.1","13.6%","±0.1","12.9%","±0.1"
"    15 to 17 years","4.2%","±0.1","4.3%","±0.1","4.1%","±0.1"
"    18 to 24 years","9.6%","±0.1","9.9%","±0.1","9.3%","±0.1"
"    15 to 44 years","39.4%","±0.1","40.5%","±0.1","38.3%","±0.1"
"    16 years and over","79.3%","±0.1","78.7%","±0.2","79.9%","±0.2"
"    18 years and over","76.4%","±0.1","75.9%","±0.1","77.0%","±0.1"
"    60 years and over","20.7%","±0.4","19.4%","±0.4","22.0%","±0.5"
"    62 years and over","18.1%","±0.3","16.5%","±0.4","19.6%","±0.4"
"    65 years and over","14.6%","±0.1","13.2%","±0.1","15.9%","±0.1"
"    75 years and over","6.1%","±0.1","5.1%","±0.1","7.1%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","37.7","±0.3","36.3","±0.3","39.1","±0.5"
"    Sex ratio (males per 100 females)","97.8","±0.2","(X)","(X)","(X)","(X)"
"    Age dependency ratio","61.7","±0.1","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","23.5","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","38.1","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.5%","(X)","(X)","(X)","(X)","(X)"
