"Label (Grouping)","San Joaquin County, California!!Total!!Estimate","San Joaquin County, California!!Total!!Margin of Error","San Joaquin County, California!!Male!!Estimate","San Joaquin County, California!!Male!!Margin of Error","San Joaquin County, California!!Female!!Estimate","San Joaquin County, California!!Female!!Margin of Error"
"Total population","687,036","*****","342,120","±142","344,916","±142"
"AGE","","","","","",""
"    Under 5 years","7.9%","*****","8.2%","±0.1","7.7%","±0.1"
"    5 to 9 years","8.0%","±0.2","8.1%","±0.3","7.8%","±0.2"
"    10 to 14 years","8.2%","±0.2","8.5%","±0.3","7.9%","±0.2"
"    15 to 19 years","8.4%","±0.1","8.8%","±0.1","8.0%","±0.1"
"    20 to 24 years","7.2%","±0.1","7.5%","±0.1","6.8%","±0.1"
"    25 to 29 years","6.7%","±0.1","6.9%","±0.1","6.5%","±0.1"
"    30 to 34 years","6.5%","±0.1","6.5%","±0.1","6.5%","±0.1"
"    35 to 39 years","6.5%","±0.2","6.4%","±0.2","6.7%","±0.3"
"    40 to 44 years","6.7%","±0.2","6.9%","±0.2","6.6%","±0.3"
"    45 to 49 years","6.8%","±0.1","6.9%","±0.1","6.8%","±0.1"
"    50 to 54 years","6.5%","±0.1","6.5%","±0.1","6.5%","±0.1"
"    55 to 59 years","5.7%","±0.1","5.6%","±0.2","5.7%","±0.2"
"    60 to 64 years","4.4%","±0.1","4.2%","±0.2","4.6%","±0.2"
"    65 to 69 years","3.2%","±0.1","3.0%","±0.1","3.4%","±0.1"
"    70 to 74 years","2.5%","±0.1","2.2%","±0.1","2.7%","±0.1"
"    75 to 79 years","1.9%","±0.1","1.7%","±0.1","2.1%","±0.1"
"    80 to 84 years","1.5%","±0.1","1.1%","±0.1","1.8%","±0.1"
"    85 years and over","1.5%","±0.1","1.0%","±0.1","1.9%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","16.1%","*****","16.6%","±0.1","15.7%","±0.1"
"    15 to 17 years","5.2%","*****","5.4%","±0.1","4.9%","±0.1"
"    18 to 24 years","10.4%","±0.1","10.9%","±0.1","9.9%","±0.1"
"    15 to 44 years","42.1%","±0.1","43.0%","±0.1","41.1%","±0.1"
"    16 years and over","74.3%","±0.1","73.6%","±0.1","75.0%","±0.1"
"    18 years and over","70.8%","*****","69.9%","±0.1","71.7%","±0.1"
"    60 years and over","14.9%","±0.1","13.3%","±0.2","16.5%","±0.2"
"    62 years and over","13.0%","±0.1","11.6%","±0.1","14.4%","±0.1"
"    65 years and over","10.5%","±0.1","9.1%","±0.1","11.9%","±0.1"
"    75 years and over","4.8%","±0.1","3.8%","±0.1","5.8%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","32.6","±0.1","31.5","±0.2","33.8","±0.2"
"    Sex ratio (males per 100 females)","99.2","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","65.9","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","17.4","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","48.5","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.4%","(X)","(X)","(X)","(X)","(X)"
