"Label (Grouping)","San Joaquin County, California!!Total!!Estimate","San Joaquin County, California!!Total!!Margin of Error","San Joaquin County, California!!Male!!Estimate","San Joaquin County, California!!Male!!Margin of Error","San Joaquin County, California!!Female!!Estimate","San Joaquin County, California!!Female!!Margin of Error"
"Total population","702,612","*****","348,986","±203","353,626","±203"
"AGE","","","","","",""
"    Under 5 years","7.7%","±0.1","7.9%","±0.1","7.6%","±0.1"
"    5 to 9 years","8.0%","±0.5","8.2%","±0.7","7.9%","±0.5"
"    10 to 14 years","8.1%","±0.4","8.5%","±0.7","7.7%","±0.5"
"    15 to 19 years","7.9%","±0.1","8.3%","±0.1","7.6%","±0.1"
"    20 to 24 years","7.4%","±0.1","7.7%","±0.1","7.2%","±0.1"
"    25 to 29 years","6.7%","±0.1","6.9%","±0.1","6.5%","±0.1"
"    30 to 34 years","6.6%","±0.1","6.6%","±0.1","6.6%","±0.1"
"    35 to 39 years","6.6%","±0.4","6.5%","±0.6","6.8%","±0.5"
"    40 to 44 years","6.4%","±0.4","6.5%","±0.6","6.2%","±0.4"
"    45 to 49 years","6.5%","±0.1","6.6%","±0.1","6.4%","±0.1"
"    50 to 54 years","6.5%","±0.1","6.5%","±0.1","6.6%","±0.1"
"    55 to 59 years","5.4%","±0.3","5.4%","±0.4","5.5%","±0.4"
"    60 to 64 years","5.0%","±0.3","4.8%","±0.4","5.1%","±0.4"
"    65 to 69 years","3.5%","±0.2","3.4%","±0.3","3.5%","±0.3"
"    70 to 74 years","2.7%","±0.2","2.3%","±0.3","3.0%","±0.3"
"    75 to 79 years","2.1%","±0.2","1.9%","±0.3","2.3%","±0.3"
"    80 to 84 years","1.4%","±0.2","1.2%","±0.2","1.6%","±0.3"
"    85 years and over","1.4%","±0.2","0.8%","±0.2","1.9%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","16.1%","±0.1","16.7%","±0.1","15.5%","±0.1"
"    15 to 17 years","4.9%","±0.1","5.1%","±0.1","4.7%","±0.1"
"    18 to 24 years","10.5%","±0.1","10.9%","±0.1","10.0%","±0.1"
"    15 to 44 years","41.7%","±0.1","42.5%","±0.1","40.8%","±0.1"
"    16 years and over","74.4%","±0.2","73.8%","±0.3","75.1%","±0.3"
"    18 years and over","71.3%","±0.1","70.4%","±0.1","72.1%","±0.1"
"    60 years and over","16.0%","±0.3","14.5%","±0.4","17.5%","±0.4"
"    62 years and over","13.9%","±0.3","12.5%","±0.4","15.3%","±0.3"
"    65 years and over","11.0%","±0.1","9.7%","±0.1","12.3%","±0.1"
"    75 years and over","4.9%","±0.1","3.9%","±0.1","5.8%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","33.0","±0.2","32.1","±0.3","34.1","±0.2"
"    Sex ratio (males per 100 females)","98.7","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","65.9","±0.2","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","18.3","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","47.7","±0.2","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.1%","(X)","(X)","(X)","(X)","(X)"
