"Label (Grouping)","Marin County, California!!Total!!Estimate","Marin County, California!!Total!!Margin of Error","Marin County, California!!Male!!Estimate","Marin County, California!!Male!!Margin of Error","Marin County, California!!Female!!Estimate","Marin County, California!!Female!!Margin of Error"
"Total population","260,651","*****","126,528","±1,001","134,123","±1,001"
"AGE","","","","","",""
"    Under 5 years","4.9%","±0.4","4.6%","±0.2","5.2%","±0.7"
"    5 to 9 years","5.7%","±0.7","5.4%","±0.9","5.9%","±0.9"
"    10 to 14 years","6.3%","±0.6","6.9%","±0.9","5.7%","±0.8"
"    15 to 19 years","5.6%","±0.3","6.0%","±0.6","5.3%","±0.5"
"    20 to 24 years","4.5%","±0.3","4.8%","±0.5","4.3%","±0.4"
"    25 to 29 years","3.9%","±0.3","4.6%","±0.3","3.2%","±0.4"
"    30 to 34 years","4.4%","±0.3","4.9%","±0.1","4.0%","±0.5"
"    35 to 39 years","6.3%","±0.7","6.7%","±1.1","6.0%","±0.8"
"    40 to 44 years","6.7%","±0.6","6.6%","±1.1","6.8%","±0.8"
"    45 to 49 years","7.7%","±0.2","8.0%","±0.4","7.4%","±0.4"
"    50 to 54 years","8.0%","±0.2","7.9%","±0.3","8.1%","±0.3"
"    55 to 59 years","7.9%","±0.6","7.5%","±0.8","8.3%","±0.9"
"    60 to 64 years","7.4%","±0.6","7.3%","±0.8","7.5%","±0.9"
"    65 to 69 years","7.1%","±0.6","6.3%","±0.8","7.8%","±0.8"
"    70 to 74 years","5.2%","±0.6","5.4%","±0.8","4.9%","±0.7"
"    75 to 79 years","3.3%","±0.4","2.8%","±0.4","3.8%","±0.6"
"    80 to 84 years","2.2%","±0.4","2.3%","±0.5","2.1%","±0.5"
"    85 years and over","2.9%","±0.4","1.9%","±0.4","3.9%","±0.7"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.0%","±0.3","12.4%","±0.3","11.6%","±0.6"
"    15 to 17 years","3.5%","±0.1","4.0%","±0.4","3.1%","±0.5"
"    18 to 24 years","6.6%","±0.3","6.8%","±0.4","6.5%","±0.5"
"    15 to 44 years","31.4%","±0.3","33.5%","±0.6","29.5%","±0.6"
"    16 years and over","81.7%","±0.3","81.3%","±0.6","82.0%","±0.6"
"    18 years and over","79.6%","±0.2","79.0%","±0.5","80.1%","±0.5"
"    60 years and over","28.1%","±0.6","26.1%","±0.8","29.9%","±0.9"
"    62 years and over","25.0%","±0.6","23.2%","±0.8","26.8%","±0.8"
"    65 years and over","20.7%","±0.2","18.8%","±0.3","22.4%","±0.2"
"    75 years and over","8.4%","±0.2","7.0%","±0.3","9.7%","±0.4"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","46.1","±0.4","44.7","±0.5","47.8","±0.7"
"    Sex ratio (males per 100 females)","94.3","±1.5","(X)","(X)","(X)","(X)"
"    Age dependency ratio","69.6","±0.7","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","35.0","±0.4","(X)","(X)","(X)","(X)"
"    Child dependency ratio","34.6","±0.4","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.6%","(X)","(X)","(X)","(X)","(X)"
