"Label (Grouping)","Marin County, California!!Total!!Estimate","Marin County, California!!Total!!Margin of Error","Marin County, California!!Male!!Estimate","Marin County, California!!Male!!Margin of Error","Marin County, California!!Female!!Estimate","Marin County, California!!Female!!Margin of Error"
"Total population","256,069","*****","124,352","±1,005","131,717","±1,005"
"AGE","","","","","",""
"    Under 5 years","5.3%","±0.2","5.6%","±0.4","5.1%","±0.4"
"    5 to 9 years","5.8%","±0.6","6.4%","±0.8","5.2%","±0.7"
"    10 to 14 years","6.1%","±0.6","6.1%","±0.8","6.1%","±0.6"
"    15 to 19 years","5.7%","±0.4","5.4%","±0.6","5.9%","±0.7"
"    20 to 24 years","3.9%","±0.4","4.2%","±0.4","3.6%","±0.6"
"    25 to 29 years","4.4%","±0.2","5.0%","±0.4","3.7%","±0.3"
"    30 to 34 years","5.0%","±0.1","5.2%","±0.1","4.8%","±0.2"
"    35 to 39 years","5.8%","±0.7","5.9%","±0.9","5.6%","±0.8"
"    40 to 44 years","7.9%","±0.7","8.1%","±0.9","7.7%","±0.9"
"    45 to 49 years","7.9%","±0.3","7.9%","±0.5","7.9%","±0.1"
"    50 to 54 years","8.3%","±0.3","8.4%","±0.5","8.2%","±0.2"
"    55 to 59 years","7.9%","±0.6","7.7%","±0.9","8.0%","±0.8"
"    60 to 64 years","8.0%","±0.6","7.5%","±0.8","8.4%","±0.8"
"    65 to 69 years","6.0%","±0.5","5.3%","±0.6","6.7%","±0.7"
"    70 to 74 years","4.3%","±0.5","4.6%","±0.6","4.0%","±0.7"
"    75 to 79 years","3.0%","±0.4","2.6%","±0.5","3.4%","±0.6"
"    80 to 84 years","2.5%","±0.4","2.0%","±0.6","2.9%","±0.5"
"    85 years and over","2.4%","±0.4","2.1%","±0.5","2.7%","±0.6"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.8%","±0.2","12.4%","±0.3","11.3%","±0.2"
"    15 to 17 years","3.4%","±0.1","3.1%","±0.3","3.6%","±0.4"
"    18 to 24 years","6.2%","±0.2","6.5%","±0.4","6.0%","±0.5"
"    15 to 44 years","32.6%","±0.2","33.9%","±0.5","31.4%","±0.4"
"    16 years and over","81.7%","±0.2","80.8%","±0.5","82.5%","±0.5"
"    18 years and over","79.5%","±0.1","78.8%","±0.4","80.1%","±0.4"
"    60 years and over","26.2%","±0.6","24.1%","±0.9","28.2%","±0.9"
"    62 years and over","22.9%","±0.6","21.1%","±0.9","24.6%","±0.7"
"    65 years and over","18.2%","±0.2","16.6%","±0.4","19.8%","±0.2"
"    75 years and over","7.9%","±0.2","6.8%","±0.4","9.0%","±0.2"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","45.2","±0.2","43.6","±0.6","46.4","±0.5"
"    Sex ratio (males per 100 females)","94.4","±1.5","(X)","(X)","(X)","(X)"
"    Age dependency ratio","63.3","±0.5","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","29.8","±0.4","(X)","(X)","(X)","(X)"
"        Child dependency ratio","33.5","±0.2","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.4%","(X)","(X)","(X)","(X)","(X)"
