"Label (Grouping)","Placer County, California!!Total!!Estimate","Placer County, California!!Total!!Margin of Error","Placer County, California!!Male!!Estimate","Placer County, California!!Male!!Margin of Error","Placer County, California!!Female!!Estimate","Placer County, California!!Female!!Margin of Error"
"Total population","361,682","*****","177,580","±638","184,102","±638"
"AGE","","","","","",""
"    Under 5 years","5.6%","±0.1","6.0%","±0.3","5.2%","±0.3"
"    5 to 9 years","6.2%","±0.5","6.8%","±0.8","5.7%","±0.6"
"    10 to 14 years","7.4%","±0.5","7.6%","±0.8","7.3%","±0.6"
"    15 to 19 years","6.7%","±0.2","7.1%","±0.5","6.4%","±0.3"
"    20 to 24 years","5.5%","±0.3","6.0%","±0.5","5.1%","±0.3"
"    25 to 29 years","5.4%","±0.2","5.5%","±0.2","5.2%","±0.2"
"    30 to 34 years","5.7%","±0.2","5.7%","±0.3","5.7%","±0.1"
"    35 to 39 years","6.3%","±0.5","5.9%","±0.6","6.7%","±0.8"
"    40 to 44 years","6.8%","±0.5","7.0%","±0.6","6.5%","±0.7"
"    45 to 49 years","7.1%","±0.1","7.1%","±0.1","7.2%","±0.1"
"    50 to 54 years","7.5%","±0.1","7.6%","±0.2","7.5%","±0.1"
"    55 to 59 years","7.1%","±0.4","6.2%","±0.6","7.9%","±0.5"
"    60 to 64 years","5.8%","±0.4","6.2%","±0.6","5.5%","±0.5"
"    65 to 69 years","5.5%","±0.4","5.4%","±0.5","5.6%","±0.5"
"    70 to 74 years","3.9%","±0.4","3.6%","±0.5","4.1%","±0.5"
"    75 to 79 years","3.2%","±0.3","2.9%","±0.4","3.5%","±0.5"
"    80 to 84 years","2.0%","±0.3","1.6%","±0.3","2.4%","±0.4"
"    85 years and over","2.1%","±0.3","1.7%","±0.4","2.6%","±0.4"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.7%","±0.1","14.4%","±0.2","13.0%","±0.2"
"    15 to 17 years","4.3%","±0.1","4.4%","±0.1","4.3%","±0.2"
"    18 to 24 years","7.9%","±0.2","8.7%","±0.3","7.2%","±0.1"
"    15 to 44 years","36.4%","±0.2","37.3%","±0.3","35.6%","±0.3"
"    16 years and over","79.4%","±0.2","78.4%","±0.4","80.3%","±0.4"
"    18 years and over","76.4%","±0.1","75.2%","±0.3","77.6%","±0.2"
"    60 years and over","22.6%","±0.4","21.5%","±0.6","23.7%","±0.5"
"    62 years and over","19.9%","±0.4","18.8%","±0.5","21.0%","±0.5"
"    65 years and over","16.7%","±0.1","15.2%","±0.2","18.2%","±0.1"
"    75 years and over","7.3%","±0.2","6.2%","±0.2","8.4%","±0.4"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","40.8","±0.4","39.3","±0.7","42.2","±0.5"
"    Sex ratio (males per 100 females)","96.5","±0.7","(X)","(X)","(X)","(X)"
"    Age dependency ratio","67.5","±0.3","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","28.0","±0.2","(X)","(X)","(X)","(X)"
"        Child dependency ratio","39.5","±0.2","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.3%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.4%","(X)","(X)","(X)","(X)","(X)"
