"Label (Grouping)","Placer County, California!!Total!!Estimate","Placer County, California!!Total!!Margin of Error","Placer County, California!!Male!!Estimate","Placer County, California!!Male!!Margin of Error","Placer County, California!!Female!!Estimate","Placer County, California!!Female!!Margin of Error"
"Total population","380,531","*****","185,096","±453","195,435","±453"
"AGE","","","","","",""
"    Under 5 years","5.3%","±0.1","5.5%","±0.1","5.1%","±0.1"
"    5 to 9 years","6.4%","±0.5","6.9%","±0.7","6.0%","±0.6"
"    10 to 14 years","6.6%","±0.5","6.8%","±0.7","6.4%","±0.6"
"    15 to 19 years","6.6%","±0.2","7.1%","±0.4","6.2%","±0.3"
"    20 to 24 years","5.0%","±0.2","5.0%","±0.1","4.9%","±0.3"
"    25 to 29 years","5.3%","±0.3","5.8%","±0.4","4.9%","±0.2"
"    30 to 34 years","5.6%","±0.1","5.6%","±0.2","5.7%","±0.2"
"    35 to 39 years","6.1%","±0.5","6.1%","±0.7","6.1%","±0.7"
"    40 to 44 years","6.6%","±0.5","6.9%","±0.7","6.3%","±0.7"
"    45 to 49 years","6.9%","±0.1","6.7%","±0.1","7.0%","±0.3"
"    50 to 54 years","7.1%","±0.1","7.1%","±0.2","7.1%","±0.2"
"    55 to 59 years","7.0%","±0.5","6.7%","±0.6","7.3%","±0.7"
"    60 to 64 years","6.5%","±0.5","6.7%","±0.7","6.3%","±0.7"
"    65 to 69 years","6.0%","±0.4","5.6%","±0.5","6.4%","±0.5"
"    70 to 74 years","4.9%","±0.4","4.7%","±0.6","5.0%","±0.5"
"    75 to 79 years","3.0%","±0.4","2.7%","±0.4","3.4%","±0.5"
"    80 to 84 years","2.4%","±0.3","2.3%","±0.5","2.4%","±0.5"
"    85 years and over","2.7%","±0.4","1.8%","±0.4","3.4%","±0.6"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.0%","±0.1","13.7%","±0.1","12.4%","±0.2"
"    15 to 17 years","4.1%","±0.1","4.3%","±0.1","4.0%","±0.1"
"    18 to 24 years","7.5%","±0.2","7.9%","±0.4","7.1%","±0.3"
"    15 to 44 years","35.3%","±0.2","36.5%","±0.2","34.1%","±0.4"
"    16 years and over","80.3%","±0.2","79.5%","±0.4","81.1%","±0.4"
"    18 years and over","77.6%","±0.1","76.6%","±0.2","78.5%","±0.2"
"    60 years and over","25.4%","±0.5","23.8%","±0.6","27.0%","±0.7"
"    62 years and over","22.6%","±0.4","20.8%","±0.5","24.3%","±0.6"
"    65 years and over","19.0%","±0.1","17.2%","±0.2","20.7%","±0.1"
"    75 years and over","8.1%","±0.2","6.8%","±0.3","9.2%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","41.9","±0.4","40.9","±0.4","43.6","±0.5"
"    Sex ratio (males per 100 females)","94.7","±0.5","(X)","(X)","(X)","(X)"
"    Age dependency ratio","70.6","±0.3","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","32.4","±0.2","(X)","(X)","(X)","(X)"
"    Child dependency ratio","38.3","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.4%","(X)","(X)","(X)","(X)","(X)"
