"Label (Grouping)","Placer County, California!!Total!!Estimate","Placer County, California!!Total!!Margin of Error","Placer County, California!!Male!!Estimate","Placer County, California!!Male!!Margin of Error","Placer County, California!!Female!!Estimate","Placer County, California!!Female!!Margin of Error"
"Total population","350,074","*****","170,983","±128","179,091","±128"
"AGE","","","","","",""
"    Under 5 years","5.9%","±0.1","6.2%","±0.1","5.7%","±0.1"
"    5 to 9 years","6.8%","±0.2","7.1%","±0.3","6.5%","±0.4"
"    10 to 14 years","7.1%","±0.2","7.4%","±0.3","6.8%","±0.4"
"    15 to 19 years","6.9%","±0.1","7.3%","±0.1","6.6%","±0.1"
"    20 to 24 years","5.3%","±0.1","5.7%","±0.1","5.0%","±0.1"
"    25 to 29 years","5.5%","±0.1","5.7%","±0.1","5.3%","±0.1"
"    30 to 34 years","5.6%","±0.1","5.7%","±0.1","5.6%","±0.1"
"    35 to 39 years","6.4%","±0.3","6.2%","±0.4","6.6%","±0.3"
"    40 to 44 years","7.0%","±0.3","7.1%","±0.4","6.9%","±0.3"
"    45 to 49 years","7.8%","±0.1","7.8%","±0.1","7.7%","±0.1"
"    50 to 54 years","7.4%","±0.1","7.4%","±0.1","7.4%","±0.1"
"    55 to 59 years","6.6%","±0.2","6.5%","±0.3","6.8%","±0.3"
"    60 to 64 years","6.0%","±0.2","5.9%","±0.3","6.2%","±0.3"
"    65 to 69 years","4.9%","±0.2","4.8%","±0.2","4.9%","±0.2"
"    70 to 74 years","3.6%","±0.2","3.2%","±0.2","3.9%","±0.2"
"    75 to 79 years","2.9%","±0.2","2.7%","±0.2","3.1%","±0.2"
"    80 to 84 years","2.1%","±0.1","1.9%","±0.2","2.4%","±0.2"
"    85 years and over","2.0%","±0.2","1.4%","±0.2","2.6%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.9%","±0.1","14.4%","±0.1","13.3%","±0.1"
"    15 to 17 years","4.5%","±0.1","4.7%","±0.1","4.3%","±0.1"
"    18 to 24 years","7.8%","±0.1","8.3%","±0.1","7.2%","±0.1"
"    15 to 44 years","36.8%","±0.1","37.7%","±0.1","35.9%","±0.1"
"    16 years and over","78.7%","±0.1","77.8%","±0.2","79.6%","±0.2"
"    18 years and over","75.7%","*****","74.7%","±0.1","76.7%","±0.1"
"    60 years and over","21.6%","±0.2","20.0%","±0.3","23.1%","±0.3"
"    62 years and over","19.2%","±0.2","17.6%","±0.3","20.7%","±0.2"
"    65 years and over","15.6%","±0.1","14.1%","±0.1","16.9%","±0.1"
"    75 years and over","7.1%","±0.1","6.1%","±0.1","8.1%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","40.2","±0.2","39.2","±0.3","41.3","±0.2"
"    Sex ratio (males per 100 females)","95.5","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","66.2","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","25.9","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","40.3","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.5%","(X)","(X)","(X)","(X)","(X)"
