"Label (Grouping)","Orange County, California!!Total!!Estimate","Orange County, California!!Total!!Margin of Error","Orange County, California!!Male!!Estimate","Orange County, California!!Male!!Margin of Error","Orange County, California!!Female!!Estimate","Orange County, California!!Female!!Margin of Error"
"Total population","3,090,132","*****","1,527,886","±651","1,562,246","±651"
"AGE","","","","","",""
"    Under 5 years","6.3%","±0.1","6.5%","±0.1","6.1%","±0.1"
"    5 to 9 years","6.5%","±0.2","6.8%","±0.3","6.1%","±0.3"
"    10 to 14 years","6.7%","±0.2","6.8%","±0.3","6.7%","±0.3"
"    15 to 19 years","7.1%","±0.1","7.4%","±0.1","6.9%","±0.1"
"    20 to 24 years","7.5%","±0.1","7.7%","±0.1","7.2%","±0.1"
"    25 to 29 years","7.0%","±0.1","7.4%","±0.1","6.7%","±0.1"
"    30 to 34 years","6.7%","±0.1","6.9%","±0.1","6.6%","±0.1"
"    35 to 39 years","6.6%","±0.2","6.6%","±0.3","6.5%","±0.3"
"    40 to 44 years","7.5%","±0.2","7.5%","±0.3","7.5%","±0.3"
"    45 to 49 years","7.4%","±0.1","7.4%","±0.1","7.3%","±0.1"
"    50 to 54 years","7.2%","±0.1","7.2%","±0.1","7.2%","±0.1"
"    55 to 59 years","6.2%","±0.1","6.3%","±0.2","6.1%","±0.2"
"    60 to 64 years","5.0%","±0.1","4.6%","±0.2","5.4%","±0.2"
"    65 to 69 years","3.9%","±0.1","3.5%","±0.2","4.2%","±0.2"
"    70 to 74 years","2.9%","±0.1","2.8%","±0.2","3.0%","±0.2"
"    75 to 79 years","2.0%","±0.1","1.9%","±0.1","2.2%","±0.1"
"    80 to 84 years","1.7%","±0.1","1.4%","±0.1","1.9%","±0.1"
"    85 years and over","1.8%","±0.1","1.3%","±0.1","2.4%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.2%","±0.1","13.6%","±0.1","12.7%","±0.1"
"    15 to 17 years","4.3%","±0.1","4.4%","±0.1","4.2%","±0.1"
"    18 to 24 years","10.3%","±0.1","10.6%","±0.1","9.9%","±0.1"
"    15 to 44 years","42.4%","±0.1","43.4%","±0.1","41.4%","±0.1"
"    16 years and over","79.1%","±0.1","78.5%","±0.1","79.6%","±0.1"
"    18 years and over","76.2%","*****","75.4%","±0.1","77.0%","±0.1"
"    60 years and over","17.3%","±0.1","15.5%","±0.2","19.1%","±0.2"
"    62 years and over","15.1%","±0.1","13.5%","±0.2","16.8%","±0.1"
"    65 years and over","12.3%","±0.1","10.9%","±0.1","13.7%","±0.1"
"    75 years and over","5.6%","±0.1","4.6%","±0.1","6.5%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","36.7","±0.2","35.4","±0.1","37.9","±0.2"
"    Sex ratio (males per 100 females)","97.8","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","56.5","±0.1","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","19.3","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","37.2","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.9%","(X)","(X)","(X)","(X)","(X)"
