"Label (Grouping)","Orange County, California!!Total!!Estimate","Orange County, California!!Total!!Margin of Error","Orange County, California!!Male!!Estimate","Orange County, California!!Male!!Margin of Error","Orange County, California!!Female!!Estimate","Orange County, California!!Female!!Margin of Error"
"Total population","3,132,211","*****","1,546,687","±109","1,585,524","±109"
"AGE","","","","","",""
"    Under 5 years","6.1%","*****","6.3%","±0.1","5.9%","±0.1"
"    5 to 9 years","6.2%","±0.1","6.6%","±0.1","5.9%","±0.1"
"    10 to 14 years","6.6%","±0.1","6.7%","±0.1","6.5%","±0.1"
"    15 to 19 years","6.8%","±0.1","7.0%","±0.1","6.6%","±0.1"
"    20 to 24 years","7.2%","±0.1","7.5%","±0.1","7.0%","±0.1"
"    25 to 29 years","7.2%","*****","7.6%","±0.1","6.9%","±0.1"
"    30 to 34 years","6.8%","*****","7.0%","±0.1","6.6%","±0.1"
"    35 to 39 years","6.5%","±0.1","6.4%","±0.1","6.5%","±0.1"
"    40 to 44 years","7.1%","±0.1","7.1%","±0.1","7.1%","±0.1"
"    45 to 49 years","7.3%","*****","7.3%","±0.1","7.3%","±0.1"
"    50 to 54 years","7.2%","*****","7.3%","±0.1","7.2%","±0.1"
"    55 to 59 years","6.5%","±0.1","6.5%","±0.1","6.5%","±0.1"
"    60 to 64 years","5.3%","±0.1","5.1%","±0.1","5.5%","±0.1"
"    65 to 69 years","4.3%","±0.1","4.0%","±0.1","4.5%","±0.1"
"    70 to 74 years","3.1%","±0.1","3.0%","±0.1","3.3%","±0.1"
"    75 to 79 years","2.3%","±0.1","2.0%","±0.1","2.5%","±0.1"
"    80 to 84 years","1.7%","±0.1","1.5%","±0.1","1.9%","±0.1"
"    85 years and over","1.8%","±0.1","1.3%","±0.1","2.3%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.9%","*****","13.3%","±0.1","12.4%","±0.1"
"    15 to 17 years","4.1%","*****","4.2%","±0.1","4.0%","±0.1"
"    18 to 24 years","9.9%","*****","10.3%","±0.1","9.6%","±0.1"
"    15 to 44 years","41.6%","*****","42.6%","±0.1","40.7%","±0.1"
"    16 years and over","79.7%","±0.1","79.1%","±0.1","80.4%","±0.1"
"    18 years and over","77.0%","*****","76.2%","±0.1","77.7%","±0.1"
"    60 years and over","18.5%","±0.1","16.8%","±0.1","20.1%","±0.1"
"    62 years and over","16.2%","±0.1","14.6%","±0.1","17.7%","±0.1"
"    65 years and over","13.2%","*****","11.7%","±0.1","14.6%","±0.1"
"    75 years and over","5.8%","*****","4.8%","±0.1","6.8%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","37.3","±0.1","36.0","±0.2","38.6","±0.2"
"    Sex ratio (males per 100 females)","97.6","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","56.7","*****","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","20.7","*****","(X)","(X)","(X)","(X)"
"    Child dependency ratio","36.1","*****","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.0%","(X)","(X)","(X)","(X)","(X)"
