"Label (Grouping)","San Mateo County, California!!Total!!Estimate","San Mateo County, California!!Total!!Margin of Error","San Mateo County, California!!Male!!Estimate","San Mateo County, California!!Male!!Margin of Error","San Mateo County, California!!Female!!Estimate","San Mateo County, California!!Female!!Margin of Error"
"Total population","764,797","*****","377,751","±652","387,046","±652"
"AGE","","","","","",""
"    Under 5 years","5.7%","±0.1","6.0%","±0.1","5.5%","±0.1"
"    5 to 9 years","5.9%","±0.3","6.3%","±0.4","5.6%","±0.5"
"    10 to 14 years","6.0%","±0.3","6.2%","±0.5","5.9%","±0.5"
"    15 to 19 years","5.3%","±0.1","5.6%","±0.2","5.0%","±0.1"
"    20 to 24 years","5.4%","±0.1","5.6%","±0.2","5.2%","±0.1"
"    25 to 29 years","7.1%","±0.1","7.5%","±0.2","6.7%","±0.1"
"    30 to 34 years","7.5%","±0.1","7.8%","±0.2","7.3%","±0.1"
"    35 to 39 years","7.6%","±0.4","7.8%","±0.6","7.5%","±0.5"
"    40 to 44 years","6.7%","±0.4","6.8%","±0.6","6.6%","±0.4"
"    45 to 49 years","7.3%","±0.1","7.3%","±0.1","7.3%","±0.2"
"    50 to 54 years","7.1%","±0.1","7.0%","±0.1","7.2%","±0.1"
"    55 to 59 years","6.8%","±0.3","6.8%","±0.4","6.8%","±0.4"
"    60 to 64 years","6.3%","±0.3","6.0%","±0.4","6.6%","±0.4"
"    65 to 69 years","5.1%","±0.3","4.8%","±0.3","5.3%","±0.3"
"    70 to 74 years","3.5%","±0.3","3.1%","±0.3","3.8%","±0.3"
"    75 to 79 years","2.5%","±0.2","2.4%","±0.3","2.6%","±0.3"
"    80 to 84 years","1.8%","±0.2","1.4%","±0.3","2.3%","±0.3"
"    85 years and over","2.3%","±0.2","1.7%","±0.2","2.8%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.0%","±0.1","12.4%","±0.1","11.5%","±0.1"
"    15 to 17 years","3.4%","±0.1","3.6%","±0.1","3.2%","±0.1"
"    18 to 24 years","7.3%","±0.1","7.7%","±0.2","7.0%","±0.1"
"    15 to 44 years","39.6%","±0.1","41.1%","±0.1","38.2%","±0.2"
"    16 years and over","81.1%","±0.2","80.3%","±0.3","81.8%","±0.2"
"    18 years and over","78.9%","±0.1","78.0%","±0.1","79.8%","±0.1"
"    60 years and over","21.5%","±0.3","19.4%","±0.4","23.5%","±0.4"
"    62 years and over","18.7%","±0.3","16.7%","±0.4","20.7%","±0.4"
"    65 years and over","15.2%","±0.1","13.4%","±0.1","16.9%","±0.1"
"    75 years and over","6.6%","±0.1","5.5%","±0.1","7.8%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","39.5","±0.3","38.1","±0.4","41.0","±0.4"
"    Sex ratio (males per 100 females)","97.6","±0.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","57.0","±0.2","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","23.9","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","33.2","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.6%","(X)","(X)","(X)","(X)","(X)"
