"Label (Grouping)","Mendocino County, California!!Total!!Estimate","Mendocino County, California!!Total!!Margin of Error","Mendocino County, California!!Male!!Estimate","Mendocino County, California!!Male!!Margin of Error","Mendocino County, California!!Female!!Estimate","Mendocino County, California!!Female!!Margin of Error"
"Total population","87,628","*****","42,946","±525","44,682","±525"
"AGE","","","","","",""
"    Under 5 years","6.1%","±0.2","6.3%","±0.5","5.9%","±0.4"
"    5 to 9 years","5.9%","±1.4","4.9%","±1.7","6.9%","±1.6"
"    10 to 14 years","6.5%","±1.4","7.4%","±1.8","5.5%","±1.6"
"    15 to 19 years","6.6%","±0.8","6.6%","±2.0","6.6%","±1.5"
"    20 to 24 years","4.3%","±0.8","4.2%","±1.5","4.3%","±1.1"
"    25 to 29 years","5.3%","±0.3","5.7%","±0.5","5.0%","±0.4"
"    30 to 34 years","6.4%","±0.9","5.9%","±0.5","6.9%","±1.5"
"    35 to 39 years","7.1%","±1.2","8.5%","±1.4","5.7%","±1.5"
"    40 to 44 years","4.1%","±1.0","3.6%","±1.4","4.5%","±1.3"
"    45 to 49 years","6.0%","±0.8","5.9%","±1.1","6.1%","±1.1"
"    50 to 54 years","6.2%","±1.0","6.2%","±0.9","6.2%","±1.4"
"    55 to 59 years","6.9%","±1.2","7.0%","±1.9","6.7%","±1.6"
"    60 to 64 years","8.7%","±1.2","9.1%","±1.7","8.4%","±1.6"
"    65 to 69 years","8.4%","±0.7","7.3%","±1.1","9.5%","±1.1"
"    70 to 74 years","4.2%","±0.9","5.5%","±1.3","3.0%","±1.1"
"    75 to 79 years","3.4%","±0.7","2.6%","±0.9","4.2%","±1.3"
"    80 to 84 years","1.7%","±0.6","1.0%","±0.6","2.4%","±1.1"
"    85 years and over","2.3%","±0.7","2.2%","±0.9","2.3%","±1.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.4%","±0.3","12.3%","±0.6","12.5%","±0.5"
"    15 to 17 years","3.6%","±0.3","3.0%","±1.3","4.2%","±1.0"
"    18 to 24 years","7.3%","±0.3","7.9%","±0.5","6.7%","±0.5"
"    15 to 44 years","33.8%","±1.0","34.6%","±1.6","33.0%","±1.5"
"    16 years and over","80.7%","±0.5","81.1%","±0.7","80.3%","±1.0"
"    18 years and over","78.0%","±0.3","78.4%","±1.1","77.5%","±0.7"
"    60 years and over","28.7%","±1.1","27.6%","±1.8","29.7%","±1.5"
"    62 years and over","24.7%","±1.2","23.8%","±2.0","25.7%","±1.4"
"    65 years and over","19.9%","±0.6","18.5%","±0.8","21.3%","±0.9"
"    75 years and over","7.4%","±0.5","5.8%","±0.3","8.8%","±1.0"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","42.8","±2.0","40.9","±3.2","44.1","±1.7"
"    Sex ratio (males per 100 females)","96.1","±2.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","72.4","±2.2","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","34.4","±1.5","(X)","(X)","(X)","(X)"
"    Child dependency ratio","38.0","±0.9","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.9%","(X)","(X)","(X)","(X)","(X)"
