"Label (Grouping)","Kern County, California!!Total!!Estimate","Kern County, California!!Total!!Margin of Error","Kern County, California!!Male!!Estimate","Kern County, California!!Male!!Margin of Error","Kern County, California!!Female!!Estimate","Kern County, California!!Female!!Margin of Error"
"Total population","871,337","*****","447,079","±76","424,258","±76"
"AGE","","","","","",""
"    Under 5 years","8.3%","±0.1","8.2%","±0.1","8.4%","±0.1"
"    5 to 9 years","8.4%","±0.2","8.2%","±0.3","8.6%","±0.2"
"    10 to 14 years","8.0%","±0.2","8.0%","±0.3","8.0%","±0.2"
"    15 to 19 years","7.7%","±0.1","7.7%","±0.1","7.6%","±0.1"
"    20 to 24 years","8.1%","±0.1","8.5%","±0.1","7.6%","±0.1"
"    25 to 29 years","7.8%","±0.1","8.3%","±0.1","7.3%","±0.1"
"    30 to 34 years","7.2%","±0.1","7.6%","±0.1","6.8%","±0.1"
"    35 to 39 years","6.5%","±0.2","6.7%","±0.2","6.3%","±0.2"
"    40 to 44 years","6.0%","±0.2","6.1%","±0.2","5.9%","±0.2"
"    45 to 49 years","6.0%","±0.1","6.0%","±0.1","5.9%","±0.1"
"    50 to 54 years","6.1%","±0.1","6.0%","±0.1","6.2%","±0.1"
"    55 to 59 years","5.4%","±0.1","5.4%","±0.2","5.4%","±0.2"
"    60 to 64 years","4.7%","±0.1","4.4%","±0.2","4.9%","±0.2"
"    65 to 69 years","3.5%","±0.1","3.2%","±0.1","3.7%","±0.1"
"    70 to 74 years","2.4%","±0.1","2.3%","±0.1","2.6%","±0.1"
"    75 to 79 years","1.7%","±0.1","1.5%","±0.1","1.9%","±0.1"
"    80 to 84 years","1.2%","±0.1","0.9%","±0.1","1.4%","±0.1"
"    85 years and over","1.1%","±0.1","0.8%","±0.1","1.4%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","16.4%","±0.1","16.2%","±0.1","16.6%","±0.1"
"    15 to 17 years","4.8%","±0.1","4.7%","±0.1","4.8%","±0.1"
"    18 to 24 years","11.0%","±0.1","11.5%","±0.1","10.4%","±0.1"
"    15 to 44 years","43.3%","±0.1","44.9%","±0.1","41.6%","±0.1"
"    16 years and over","73.7%","±0.1","74.0%","±0.1","73.4%","±0.1"
"    18 years and over","70.5%","*****","70.8%","±0.1","70.3%","±0.1"
"    60 years and over","14.5%","±0.1","13.2%","±0.2","15.9%","±0.2"
"    62 years and over","12.5%","±0.1","11.3%","±0.2","13.8%","±0.2"
"    65 years and over","9.9%","±0.1","8.8%","±0.1","11.0%","±0.1"
"    75 years and over","4.0%","±0.1","3.3%","±0.1","4.7%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","31.2","±0.1","30.6","±0.2","31.8","±0.1"
"    Sex ratio (males per 100 females)","105.4","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","64.9","±0.1","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","16.3","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","48.6","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.4%","(X)","(X)","(X)","(X)","(X)"
