"Label (Grouping)","Madera County, California!!Total!!Estimate","Madera County, California!!Total!!Margin of Error","Madera County, California!!Male!!Estimate","Madera County, California!!Male!!Margin of Error","Madera County, California!!Female!!Estimate","Madera County, California!!Female!!Margin of Error"
"Total population","154,697","*****","74,406","±699","80,291","±699"
"AGE","","","","","",""
"    Under 5 years","7.2%","±0.2","7.6%","±0.2","7.0%","±0.3"
"    5 to 9 years","8.2%","±1.0","8.2%","±1.6","8.3%","±1.4"
"    10 to 14 years","7.6%","±1.0","8.2%","±1.5","7.0%","±1.4"
"    15 to 19 years","7.3%","±0.4","7.7%","±0.5","6.9%","±0.6"
"    20 to 24 years","7.6%","±0.6","7.5%","±0.6","7.7%","±1.0"
"    25 to 29 years","7.2%","±0.3","7.0%","±0.4","7.3%","±0.5"
"    30 to 34 years","6.7%","±0.3","6.4%","±0.2","6.9%","±0.4"
"    35 to 39 years","5.5%","±0.9","5.5%","±1.4","5.5%","±1.1"
"    40 to 44 years","6.5%","±0.9","6.2%","±1.3","6.9%","±1.1"
"    45 to 49 years","6.1%","±0.4","5.8%","±0.4","6.4%","±0.9"
"    50 to 54 years","5.7%","±0.2","5.5%","±0.1","5.8%","±0.3"
"    55 to 59 years","6.2%","±0.7","6.1%","±1.1","6.3%","±0.9"
"    60 to 64 years","5.0%","±0.7","5.0%","±1.1","5.0%","±0.9"
"    65 to 69 years","4.5%","±0.5","4.6%","±0.8","4.5%","±0.7"
"    70 to 74 years","3.7%","±0.5","4.1%","±0.9","3.4%","±0.7"
"    75 to 79 years","2.5%","±0.4","3.1%","±0.5","2.1%","±0.6"
"    80 to 84 years","1.1%","±0.3","1.1%","±0.4","1.0%","±0.4"
"    85 years and over","1.3%","±0.3","0.5%","±0.4","2.1%","±0.6"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.8%","±0.2","16.4%","±0.4","15.3%","±0.5"
"    15 to 17 years","4.4%","±0.1","4.7%","±0.1","4.1%","±0.2"
"    18 to 24 years","10.4%","±0.5","10.4%","±0.4","10.5%","±0.9"
"    15 to 44 years","40.7%","±0.4","40.3%","±0.5","41.1%","±0.8"
"    16 years and over","75.4%","±0.5","74.8%","±0.9","76.0%","±0.9"
"    18 years and over","72.5%","*****","71.3%","±0.4","73.6%","±0.4"
"    60 years and over","18.3%","±0.7","18.4%","±1.2","18.1%","±1.0"
"    62 years and over","16.1%","±0.7","16.0%","±1.1","16.1%","±0.9"
"    65 years and over","13.2%","±0.3","13.4%","±0.5","13.1%","±0.4"
"    75 years and over","4.9%","±0.1","4.7%","±0.1","5.2%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","33.6","±0.5","32.4","±0.9","34.4","±0.6"
"    Sex ratio (males per 100 females)","92.7","±1.7","(X)","(X)","(X)","(X)"
"    Age dependency ratio","68.7","±0.8","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","22.3","±0.6","(X)","(X)","(X)","(X)"
"    Child dependency ratio","46.4","±0.2","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","3.0%","(X)","(X)","(X)","(X)","(X)"
