"Label (Grouping)","Madera County, California!!Total!!Estimate","Madera County, California!!Total!!Margin of Error","Madera County, California!!Male!!Estimate","Madera County, California!!Male!!Margin of Error","Madera County, California!!Female!!Estimate","Madera County, California!!Female!!Margin of Error"
"Total population","152,218","*****","73,122","±644","79,096","±644"
"AGE","","","","","",""
"    Under 5 years","7.9%","±0.3","8.3%","±0.5","7.6%","±0.4"
"    5 to 9 years","8.4%","±1.1","8.8%","±1.9","8.1%","±1.2"
"    10 to 14 years","7.5%","±1.0","8.6%","±1.8","6.4%","±1.2"
"    15 to 19 years","7.4%","±0.2","8.1%","±0.2","6.7%","±0.5"
"    20 to 24 years","7.5%","±0.4","8.1%","±0.6","6.8%","±0.4"
"    25 to 29 years","6.9%","±0.5","6.2%","±0.7","7.5%","±0.5"
"    30 to 34 years","6.9%","±0.4","6.4%","±0.4","7.3%","±0.6"
"    35 to 39 years","6.5%","±0.9","6.3%","±1.1","6.7%","±1.3"
"    40 to 44 years","6.0%","±0.8","5.3%","±1.1","6.6%","±1.0"
"    45 to 49 years","6.3%","±0.4","5.8%","±0.4","6.7%","±0.6"
"    50 to 54 years","6.1%","±0.3","5.7%","±0.3","6.5%","±0.6"
"    55 to 59 years","5.2%","±0.8","5.5%","±1.0","5.0%","±0.9"
"    60 to 64 years","5.5%","±0.7","5.3%","±1.1","5.8%","±0.8"
"    65 to 69 years","4.2%","±0.6","4.2%","±0.7","4.3%","±0.7"
"    70 to 74 years","2.8%","±0.6","2.7%","±0.7","2.8%","±0.8"
"    75 to 79 years","2.4%","±0.5","2.9%","±0.7","2.0%","±0.5"
"    80 to 84 years","1.3%","±0.4","1.2%","±0.6","1.4%","±0.5"
"    85 years and over","1.3%","±0.4","0.5%","±0.4","1.9%","±0.6"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.9%","±0.3","17.4%","±0.6","14.5%","±0.3"
"    15 to 17 years","4.6%","±0.2","5.0%","±0.1","4.3%","±0.3"
"    18 to 24 years","10.2%","±0.4","11.3%","±0.7","9.2%","±0.3"
"    15 to 44 years","41.1%","±0.4","40.6%","±0.5","41.5%","±0.7"
"    16 years and over","74.6%","±0.5","73.0%","±1.0","76.1%","±0.8"
"    18 years and over","71.5%","±0.3","69.4%","±0.7","73.5%","±0.4"
"    60 years and over","17.5%","±0.8","16.7%","±1.1","18.2%","±0.9"
"    62 years and over","15.6%","±0.8","15.2%","±1.0","16.0%","±1.0"
"    65 years and over","12.0%","±0.4","11.5%","±0.3","12.4%","±0.6"
"    75 years and over","5.0%","±0.2","4.6%","±0.2","5.3%","±0.4"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","32.3","±0.6","30.6","±0.3","34.5","±0.7"
"    Sex ratio (males per 100 females)","92.4","±1.6","(X)","(X)","(X)","(X)"
"    Age dependency ratio","67.8","±1.1","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","20.1","±0.7","(X)","(X)","(X)","(X)"
"        Child dependency ratio","47.8","±0.6","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.6%","(X)","(X)","(X)","(X)","(X)"
