"Label (Grouping)","Madera County, California!!Total!!Estimate","Madera County, California!!Total!!Margin of Error","Madera County, California!!Male!!Estimate","Madera County, California!!Male!!Margin of Error","Madera County, California!!Female!!Estimate","Madera County, California!!Female!!Margin of Error"
"Total population","153,366","*****","74,035","±152","79,331","±152"
"AGE","","","","","",""
"    Under 5 years","7.6%","±0.1","8.0%","±0.2","7.2%","±0.1"
"    5 to 9 years","8.1%","±0.5","8.3%","±0.6","7.9%","±0.6"
"    10 to 14 years","7.6%","±0.4","8.1%","±0.6","7.1%","±0.6"
"    15 to 19 years","7.3%","±0.2","7.8%","±0.2","6.9%","±0.2"
"    20 to 24 years","7.3%","±0.1","7.6%","±0.2","7.0%","±0.1"
"    25 to 29 years","7.0%","±0.1","6.7%","±0.1","7.1%","±0.2"
"    30 to 34 years","6.9%","±0.2","6.5%","±0.2","7.2%","±0.4"
"    35 to 39 years","6.4%","±0.4","5.9%","±0.4","6.8%","±0.6"
"    40 to 44 years","6.1%","±0.4","6.0%","±0.4","6.2%","±0.6"
"    45 to 49 years","6.0%","±0.1","5.8%","±0.2","6.1%","±0.2"
"    50 to 54 years","5.9%","±0.1","5.7%","±0.1","6.2%","±0.2"
"    55 to 59 years","5.7%","±0.3","5.5%","±0.5","5.9%","±0.4"
"    60 to 64 years","5.3%","±0.3","5.4%","±0.4","5.2%","±0.4"
"    65 to 69 years","4.4%","±0.3","4.4%","±0.4","4.4%","±0.3"
"    70 to 74 years","3.3%","±0.3","3.3%","±0.3","3.2%","±0.3"
"    75 to 79 years","2.3%","±0.3","2.5%","±0.3","2.1%","±0.3"
"    80 to 84 years","1.5%","±0.2","1.6%","±0.3","1.5%","±0.2"
"    85 years and over","1.3%","±0.2","0.8%","±0.2","1.8%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.7%","±0.1","16.4%","±0.2","15.1%","±0.2"
"    15 to 17 years","4.5%","±0.1","4.8%","±0.1","4.2%","±0.1"
"    18 to 24 years","10.1%","±0.1","10.6%","±0.2","9.7%","±0.2"
"    15 to 44 years","40.9%","±0.2","40.6%","±0.2","41.3%","±0.3"
"    16 years and over","75.3%","±0.2","74.2%","±0.3","76.3%","±0.3"
"    18 years and over","72.2%","±0.1","70.8%","±0.1","73.5%","±0.2"
"    60 years and over","18.1%","±0.3","18.0%","±0.4","18.2%","±0.4"
"    62 years and over","15.9%","±0.3","15.7%","±0.4","16.0%","±0.4"
"    65 years and over","12.9%","±0.1","12.6%","±0.1","13.1%","±0.1"
"    75 years and over","5.2%","±0.1","4.9%","±0.1","5.4%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","33.5","±0.3","32.0","±0.5","34.5","±0.4"
"    Sex ratio (males per 100 females)","93.3","±0.4","(X)","(X)","(X)","(X)"
"    Age dependency ratio","68.5","±0.2","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","21.7","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","46.9","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.4%","(X)","(X)","(X)","(X)","(X)"
