"Label (Grouping)","Solano County, California!!Total!!Estimate","Solano County, California!!Total!!Margin of Error","Solano County, California!!Male!!Estimate","Solano County, California!!Male!!Margin of Error","Solano County, California!!Female!!Estimate","Solano County, California!!Female!!Margin of Error"
"Total population","420,757","*****","209,423","±604","211,334","±604"
"AGE","","","","","",""
"    Under 5 years","6.3%","±0.1","6.5%","±0.1","6.1%","±0.1"
"    5 to 9 years","6.2%","±0.5","5.7%","±0.7","6.8%","±0.7"
"    10 to 14 years","6.9%","±0.5","7.6%","±0.7","6.1%","±0.7"
"    15 to 19 years","6.8%","±0.1","7.1%","±0.1","6.5%","±0.2"
"    20 to 24 years","7.4%","±0.1","7.9%","±0.1","7.0%","±0.2"
"    25 to 29 years","7.1%","±0.1","7.4%","±0.1","6.9%","±0.2"
"    30 to 34 years","6.6%","±0.1","6.8%","±0.1","6.4%","±0.1"
"    35 to 39 years","6.1%","±0.5","6.6%","±0.6","5.6%","±0.7"
"    40 to 44 years","6.5%","±0.5","6.2%","±0.6","6.7%","±0.7"
"    45 to 49 years","7.2%","±0.1","7.1%","±0.1","7.2%","±0.1"
"    50 to 54 years","7.6%","±0.1","7.5%","±0.1","7.6%","±0.1"
"    55 to 59 years","7.1%","±0.4","6.9%","±0.6","7.4%","±0.6"
"    60 to 64 years","6.0%","±0.4","5.9%","±0.6","6.0%","±0.6"
"    65 to 69 years","4.6%","±0.3","4.4%","±0.3","4.9%","±0.5"
"    70 to 74 years","2.4%","±0.3","2.3%","±0.3","2.6%","±0.5"
"    75 to 79 years","2.3%","±0.3","2.2%","±0.3","2.4%","±0.4"
"    80 to 84 years","1.4%","±0.2","1.2%","±0.3","1.7%","±0.4"
"    85 years and over","1.5%","±0.2","0.8%","±0.2","2.1%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.1%","±0.1","13.3%","±0.1","12.9%","±0.2"
"    15 to 17 years","4.2%","±0.1","4.2%","±0.1","4.1%","±0.1"
"    18 to 24 years","10.1%","±0.1","10.7%","±0.1","9.4%","±0.1"
"    15 to 44 years","40.5%","±0.1","41.9%","±0.1","39.1%","±0.2"
"    16 years and over","79.4%","±0.2","79.3%","±0.3","79.6%","±0.3"
"    18 years and over","76.5%","±0.1","76.0%","±0.1","76.9%","±0.1"
"    60 years and over","18.3%","±0.4","16.9%","±0.6","19.7%","±0.6"
"    62 years and over","15.7%","±0.4","14.5%","±0.5","16.9%","±0.5"
"    65 years and over","12.3%","±0.1","10.9%","±0.1","13.6%","±0.1"
"    75 years and over","5.2%","±0.1","4.2%","±0.1","6.2%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","37.2","±0.4","35.9","±0.3","38.8","±0.7"
"    Sex ratio (males per 100 females)","99.1","±0.6","(X)","(X)","(X)","(X)"
"    Age dependency ratio","55.8","±0.2","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","19.1","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","36.7","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.8%","(X)","(X)","(X)","(X)","(X)"
