"Label (Grouping)","Siskiyou County, California!!Total!!Estimate","Siskiyou County, California!!Total!!Margin of Error","Siskiyou County, California!!Male!!Estimate","Siskiyou County, California!!Male!!Margin of Error","Siskiyou County, California!!Female!!Estimate","Siskiyou County, California!!Female!!Margin of Error"
"Total population","43,668","*****","21,713","±93","21,955","±93"
"AGE","","","","","",""
"    Under 5 years","5.2%","±0.1","5.1%","±0.1","5.4%","±0.2"
"    5 to 9 years","6.1%","±0.4","6.0%","±0.7","6.2%","±0.6"
"    10 to 14 years","5.3%","±0.4","5.7%","±0.6","5.0%","±0.6"
"    15 to 19 years","5.7%","±0.2","6.1%","±0.3","5.2%","±0.2"
"    20 to 24 years","5.0%","±0.2","5.5%","±0.3","4.6%","±0.1"
"    25 to 29 years","4.7%","±0.1","4.9%","±0.3","4.6%","±0.1"
"    30 to 34 years","5.5%","±0.2","5.9%","±0.3","5.1%","±0.2"
"    35 to 39 years","4.7%","±0.5","4.8%","±0.7","4.6%","±0.6"
"    40 to 44 years","4.7%","±0.5","4.6%","±0.6","4.9%","±0.6"
"    45 to 49 years","5.5%","±0.2","5.5%","±0.3","5.5%","±0.1"
"    50 to 54 years","7.2%","±0.2","7.0%","±0.3","7.3%","±0.2"
"    55 to 59 years","8.7%","±0.5","8.2%","±0.9","9.3%","±0.7"
"    60 to 64 years","8.8%","±0.5","8.5%","±0.8","9.1%","±0.7"
"    65 to 69 years","7.4%","±0.5","7.4%","±0.6","7.4%","±0.7"
"    70 to 74 years","6.5%","±0.5","6.9%","±0.6","6.1%","±0.6"
"    75 to 79 years","3.6%","±0.4","4.3%","±0.4","2.9%","±0.6"
"    80 to 84 years","2.3%","±0.3","1.6%","±0.3","3.0%","±0.5"
"    85 years and over","2.9%","±0.4","2.2%","±0.5","3.6%","±0.5"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.4%","±0.1","11.7%","±0.3","11.2%","±0.3"
"    15 to 17 years","3.6%","±0.1","3.8%","±0.2","3.4%","±0.1"
"    18 to 24 years","7.1%","±0.1","7.8%","±0.2","6.4%","±0.2"
"    15 to 44 years","30.3%","±0.2","31.7%","±0.4","29.0%","±0.3"
"    16 years and over","82.2%","±0.2","81.7%","±0.4","82.6%","±0.4"
"    18 years and over","79.8%","*****","79.5%","±0.3","80.0%","±0.3"
"    60 years and over","31.6%","±0.5","30.9%","±0.9","32.3%","±0.8"
"    62 years and over","27.9%","±0.5","27.7%","±0.8","28.2%","±0.6"
"    65 years and over","22.8%","±0.1","22.4%","±0.2","23.1%","±0.2"
"    75 years and over","8.9%","±0.1","8.1%","±0.1","9.6%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","47.9","±0.4","46.6","±0.5","48.8","±0.3"
"    Sex ratio (males per 100 females)","98.9","±0.8","(X)","(X)","(X)","(X)"
"    Age dependency ratio","75.5","±0.3","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","39.9","±0.2","(X)","(X)","(X)","(X)"
"    Child dependency ratio","35.5","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.7%","(X)","(X)","(X)","(X)","(X)"
