"Label (Grouping)","Monterey County, California!!Total!!Estimate","Monterey County, California!!Total!!Margin of Error","Monterey County, California!!Male!!Estimate","Monterey County, California!!Male!!Margin of Error","Monterey County, California!!Female!!Estimate","Monterey County, California!!Female!!Margin of Error"
"Total population","416,199","*****","214,090","±139","202,109","±139"
"AGE","","","","","",""
"    Under 5 years","7.9%","±0.1","7.9%","±0.1","8.0%","±0.1"
"    5 to 9 years","7.5%","±0.2","7.5%","±0.3","7.6%","±0.2"
"    10 to 14 years","6.8%","±0.2","6.9%","±0.3","6.7%","±0.3"
"    15 to 19 years","7.7%","±0.1","7.8%","±0.1","7.7%","±0.1"
"    20 to 24 years","7.9%","±0.1","8.4%","±0.1","7.4%","±0.1"
"    25 to 29 years","7.7%","±0.1","8.1%","±0.1","7.3%","±0.1"
"    30 to 34 years","7.2%","±0.1","7.6%","±0.1","6.8%","±0.1"
"    35 to 39 years","6.8%","±0.2","7.4%","±0.3","6.2%","±0.3"
"    40 to 44 years","6.4%","±0.2","6.4%","±0.3","6.4%","±0.3"
"    45 to 49 years","6.4%","±0.1","6.5%","±0.1","6.3%","±0.1"
"    50 to 54 years","6.4%","±0.1","6.3%","±0.1","6.5%","±0.1"
"    55 to 59 years","5.5%","±0.2","5.3%","±0.2","5.6%","±0.3"
"    60 to 64 years","4.9%","±0.2","4.8%","±0.2","5.1%","±0.3"
"    65 to 69 years","3.1%","±0.1","3.0%","±0.2","3.3%","±0.2"
"    70 to 74 years","2.5%","±0.1","2.1%","±0.2","2.8%","±0.2"
"    75 to 79 years","2.0%","±0.1","1.6%","±0.1","2.3%","±0.2"
"    80 to 84 years","1.5%","±0.1","1.2%","±0.1","1.9%","±0.2"
"    85 years and over","1.7%","±0.1","1.2%","±0.1","2.2%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","14.3%","±0.1","14.3%","±0.1","14.3%","±0.1"
"    15 to 17 years","4.5%","±0.1","4.5%","±0.1","4.5%","±0.1"
"    18 to 24 years","11.1%","±0.1","11.7%","±0.1","10.6%","±0.1"
"    15 to 44 years","43.8%","±0.1","45.7%","±0.1","41.8%","±0.1"
"    16 years and over","76.2%","±0.1","76.1%","±0.2","76.2%","±0.2"
"    18 years and over","73.3%","±0.1","73.3%","±0.1","73.2%","±0.1"
"    60 years and over","15.7%","±0.2","13.9%","±0.2","17.5%","±0.3"
"    62 years and over","13.6%","±0.2","11.9%","±0.2","15.5%","±0.2"
"    65 years and over","10.8%","±0.1","9.2%","±0.1","12.5%","±0.1"
"    75 years and over","5.2%","±0.1","4.0%","±0.1","6.4%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","32.9","±0.1","32.1","±0.2","33.8","±0.2"
"    Sex ratio (males per 100 females)","105.9","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","60.0","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","17.2","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","42.8","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.2%","(X)","(X)","(X)","(X)","(X)"
