"Label (Grouping)","Monterey County, California!!Total!!Estimate","Monterey County, California!!Total!!Margin of Error","Monterey County, California!!Male!!Estimate","Monterey County, California!!Male!!Margin of Error","Monterey County, California!!Female!!Estimate","Monterey County, California!!Female!!Margin of Error"
"Total population","435,232","*****","222,251","±445","212,981","±445"
"AGE","","","","","",""
"    Under 5 years","7.5%","±0.1","7.5%","±0.1","7.5%","±0.1"
"    5 to 9 years","7.4%","±0.5","7.4%","±0.8","7.5%","±0.7"
"    10 to 14 years","7.3%","±0.5","7.7%","±0.8","7.0%","±0.7"
"    15 to 19 years","7.1%","±0.2","7.2%","±0.3","7.0%","±0.3"
"    20 to 24 years","7.3%","±0.1","7.5%","±0.1","7.1%","±0.2"
"    25 to 29 years","7.2%","±0.1","7.4%","±0.1","7.1%","±0.2"
"    30 to 34 years","7.3%","±0.1","7.7%","±0.2","6.9%","±0.1"
"    35 to 39 years","6.5%","±0.5","6.8%","±0.7","6.2%","±0.7"
"    40 to 44 years","6.4%","±0.5","6.6%","±0.7","6.2%","±0.7"
"    45 to 49 years","6.0%","±0.1","6.2%","±0.1","5.8%","±0.1"
"    50 to 54 years","6.0%","±0.1","6.1%","±0.2","5.9%","±0.2"
"    55 to 59 years","5.7%","±0.4","5.3%","±0.4","6.0%","±0.6"
"    60 to 64 years","5.4%","±0.4","5.4%","±0.4","5.5%","±0.6"
"    65 to 69 years","4.4%","±0.3","4.4%","±0.4","4.4%","±0.4"
"    70 to 74 years","2.9%","±0.3","2.5%","±0.4","3.5%","±0.4"
"    75 to 79 years","1.9%","±0.2","1.6%","±0.3","2.2%","±0.3"
"    80 to 84 years","1.6%","±0.3","1.4%","±0.3","1.8%","±0.3"
"    85 years and over","1.8%","±0.3","1.3%","±0.3","2.4%","±0.4"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","14.8%","±0.1","15.1%","±0.2","14.5%","±0.1"
"    15 to 17 years","4.1%","±0.1","4.1%","±0.2","4.0%","±0.2"
"    18 to 24 years","10.3%","±0.2","10.6%","±0.2","10.1%","±0.2"
"    15 to 44 years","41.8%","±0.2","43.2%","±0.3","40.5%","±0.2"
"    16 years and over","76.4%","±0.2","75.9%","±0.3","76.9%","±0.3"
"    18 years and over","73.6%","±0.1","73.3%","±0.2","74.0%","±0.1"
"    60 years and over","18.1%","±0.4","16.6%","±0.4","19.7%","±0.6"
"    62 years and over","15.6%","±0.4","14.0%","±0.5","17.3%","±0.5"
"    65 years and over","12.7%","±0.1","11.2%","±0.1","14.2%","±0.1"
"    75 years and over","5.3%","±0.1","4.3%","±0.1","6.4%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","34.0","±0.2","33.2","±0.4","34.9","±0.2"
"    Sex ratio (males per 100 females)","104.4","±0.4","(X)","(X)","(X)","(X)"
"    Age dependency ratio","64.1","±0.2","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","20.8","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","43.3","±0.2","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","6.2%","(X)","(X)","(X)","(X)","(X)"
