"Label (Grouping)","Monterey County, California!!Total!!Estimate","Monterey County, California!!Total!!Margin of Error","Monterey County, California!!Male!!Estimate","Monterey County, California!!Male!!Margin of Error","Monterey County, California!!Female!!Estimate","Monterey County, California!!Female!!Margin of Error"
"Total population","430,201","*****","219,883","±121","210,318","±121"
"AGE","","","","","",""
"    Under 5 years","7.7%","±0.1","7.7%","±0.1","7.7%","±0.1"
"    5 to 9 years","7.5%","±0.2","7.4%","±0.3","7.6%","±0.3"
"    10 to 14 years","7.2%","±0.2","7.3%","±0.3","7.1%","±0.3"
"    15 to 19 years","7.1%","±0.1","7.1%","±0.1","7.0%","±0.1"
"    20 to 24 years","7.7%","±0.1","8.0%","±0.1","7.3%","±0.1"
"    25 to 29 years","7.4%","±0.1","7.7%","±0.1","7.2%","±0.1"
"    30 to 34 years","7.4%","±0.1","7.7%","±0.1","7.0%","±0.1"
"    35 to 39 years","6.6%","±0.2","7.0%","±0.2","6.2%","±0.3"
"    40 to 44 years","6.4%","±0.2","6.6%","±0.2","6.2%","±0.3"
"    45 to 49 years","6.1%","±0.1","6.4%","±0.1","5.9%","±0.1"
"    50 to 54 years","6.1%","±0.1","6.0%","±0.1","6.1%","±0.1"
"    55 to 59 years","5.7%","±0.2","5.4%","±0.2","6.1%","±0.2"
"    60 to 64 years","5.2%","±0.2","5.1%","±0.2","5.2%","±0.2"
"    65 to 69 years","4.0%","±0.1","3.8%","±0.2","4.2%","±0.2"
"    70 to 74 years","2.7%","±0.1","2.5%","±0.2","2.9%","±0.2"
"    75 to 79 years","1.8%","±0.1","1.6%","±0.2","2.0%","±0.1"
"    80 to 84 years","1.6%","±0.1","1.3%","±0.1","1.9%","±0.1"
"    85 years and over","1.9%","±0.1","1.3%","±0.1","2.5%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","14.7%","±0.1","14.7%","±0.1","14.7%","±0.1"
"    15 to 17 years","4.1%","±0.1","4.1%","±0.1","4.1%","±0.1"
"    18 to 24 years","10.6%","±0.1","11.0%","±0.1","10.3%","±0.1"
"    15 to 44 years","42.5%","±0.1","44.1%","±0.1","40.9%","±0.1"
"    16 years and over","76.3%","±0.1","76.1%","±0.1","76.4%","±0.1"
"    18 years and over","73.5%","*****","73.5%","±0.1","73.6%","±0.1"
"    60 years and over","17.2%","±0.2","15.7%","±0.2","18.7%","±0.2"
"    62 years and over","14.9%","±0.1","13.2%","±0.2","16.7%","±0.2"
"    65 years and over","12.0%","±0.1","10.5%","±0.1","13.5%","±0.1"
"    75 years and over","5.3%","±0.1","4.2%","±0.1","6.3%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","33.7","±0.2","33.0","±0.2","34.4","±0.1"
"    Sex ratio (males per 100 females)","104.5","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","62.5","±0.1","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","19.5","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","43.0","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.5%","(X)","(X)","(X)","(X)","(X)"
